case,mode,bytes,iterations,elapsed_ns,read_syscalls,write_syscalls,read_syscall_bytes,write_syscall_bytes,buffered_fast_path_bytes,scratch_path_bytes,copy_loop_iterations,read_vec_calls,write_vec_calls,sync_data_calls,sync_all_calls
small_writes,raw_file_writer,1048576,1048576,841330924,0,1048576,0,1048576,0,0,0,0,0,0,0
small_writes,buffered_writer,1048576,1048576,12808886,0,256,0,1048576,0,0,0,0,0,0,0
small_writes,observed_buffered_writer,1048576,1048576,12611104,0,256,0,1048576,0,0,0,0,0,0,0
small_writes,vector_writer,1048576,1048576,867876394,0,1048576,0,1048576,0,0,0,0,1048576,0,0
small_writes,raw_file_writer,1048576,131072,94788058,0,131072,0,1048576,0,0,0,0,0,0,0
small_writes,buffered_writer,1048576,131072,1853515,0,256,0,1048576,0,0,0,0,0,0,0
small_writes,observed_buffered_writer,1048576,131072,1904775,0,256,0,1048576,0,0,0,0,0,0,0
small_writes,vector_writer,1048576,131072,107579898,0,131072,0,1048576,0,0,0,0,131072,0,0
small_writes,raw_file_writer,1048576,16384,12081245,0,16384,0,1048576,0,0,0,0,0,0,0
small_writes,buffered_writer,1048576,16384,722680,0,256,0,1048576,0,0,0,0,0,0,0
small_writes,observed_buffered_writer,1048576,16384,741466,0,256,0,1048576,0,0,0,0,0,0,0
small_writes,vector_writer,1048576,16384,14584660,0,16384,0,1048576,0,0,0,0,16384,0,0
small_writes,raw_file_writer,1048576,2048,2015412,0,2048,0,1048576,0,0,0,0,0,0,0
small_writes,buffered_writer,1048576,2048,676319,0,256,0,1048576,0,0,0,0,0,0,0
small_writes,observed_buffered_writer,1048576,2048,690968,0,256,0,1048576,0,0,0,0,0,0,0
small_writes,vector_writer,1048576,2048,2227755,0,2048,0,1048576,0,0,0,0,2048,0,0
small_writes,raw_file_writer,1048576,256,671329,0,256,0,1048576,0,0,0,0,0,0,0
small_writes,buffered_writer,1048576,256,922810,0,256,0,1048576,0,0,0,0,0,0,0
small_writes,observed_buffered_writer,1048576,256,1000853,0,256,0,1048576,0,0,0,0,0,0,0
small_writes,vector_writer,1048576,256,756075,0,256,0,1048576,0,0,0,0,256,0,0
copy_strategy,scratch/unlimited,4096,2,451,0,0,0,0,0,4096,2,0,0,0,0
copy_strategy,buffered_first/unlimited,4096,2,320,0,0,0,0,0,4096,2,0,0,0,0
copy_strategy,auto/unlimited,4096,2,250,0,0,0,0,0,4096,2,0,0,0,0
copy_strategy,buffered_first/small_limit,1024,1,201,0,0,0,0,0,1024,1,0,0,0,0
copy_strategy,buffered_first/exact_limit,4096,1,210,0,0,0,0,0,4096,1,0,0,0,0
copy_strategy,scratch/unlimited,65536,2,3907,0,0,0,0,0,65536,2,0,0,0,0
copy_strategy,buffered_first/unlimited,65536,2,3647,0,0,0,0,0,65536,2,0,0,0,0
copy_strategy,auto/unlimited,65536,2,3677,0,0,0,0,0,65536,2,0,0,0,0
copy_strategy,buffered_first/small_limit,16384,1,1854,0,0,0,0,0,16384,1,0,0,0,0
copy_strategy,buffered_first/exact_limit,65536,1,3527,0,0,0,0,0,65536,1,0,0,0,0
copy_strategy,scratch/unlimited,1048576,17,1086951,0,0,0,0,0,1048576,17,0,0,0,0
copy_strategy,buffered_first/unlimited,1048576,17,879305,0,0,0,0,0,1048576,17,0,0,0,0
copy_strategy,auto/unlimited,1048576,17,853505,0,0,0,0,0,1048576,17,0,0,0,0
copy_strategy,buffered_first/small_limit,262144,4,22173,0,0,0,0,0,262144,4,0,0,0,0
