depth,arm,align,engine_ns_median,engine_ns_mad,total_ns_median,chunks,bytes_copied,reps
1,4096,4096,860311859.0,13650279.0,860337429.0,512,536870912,14
1,best,64,858417364.5,8828547.0,858447110.5,512,536870912,14
1,engine,0,869032964.5,17783240.0,869032964.5,512,536870912,14
1,natural,16,881210987.0,10755520.0,881235272.0,512,536870912,14
2,4096,4096,636017660.5,3911762.5,636054634.5,512,536870912,14
2,best,64,637026335.0,7050772.0,637057591.0,512,536870912,14
2,engine,0,667493019.0,5106693.5,667493019.0,512,536870912,14
2,natural,16,638466001.5,4263041.5,638498183.5,512,536870912,14
4,4096,4096,668570060.0,4588218.5,668619061.5,512,536870912,14
4,best,64,637391407.0,5921923.5,637437460.5,512,536870912,14
4,engine,0,639184015.0,12033326.0,639184015.0,512,536870912,14
4,natural,16,642081925.0,16404889.0,642124613.0,512,536870912,14
8,4096,4096,685267453.5,11072471.0,685318642.5,512,536870912,14
8,best,64,665356365.5,13663363.0,665417562.5,512,536870912,14
8,engine,0,686811020.0,6513581.0,686811020.0,512,536870912,14
8,natural,16,698318410.0,3549804.0,698379238.5,512,536870912,14
16,4096,4096,720724667.0,10925548.0,720801229.5,512,536870912,14
16,best,64,700829754.5,14375195.0,700919101.0,512,536870912,14
16,engine,0,715000982.5,12770318.5,715000982.5,512,536870912,14
16,natural,16,714480784.5,10759116.5,714566983.5,512,536870912,14
