depth,arm,align,engine_ns_median,engine_ns_mad,total_ns_median,chunks,bytes_copied,reps,instructions_per_engine_call,cycles_per_engine_call
1,4096,4096,366208323.0,62802175.0,366239068.0,512,536870912,14,7781846.0,8020408.142857143
1,best,64,328127643.0,44935774.5,328152245.5,512,536870912,14,7756290.285714285,27171873.85714286
1,engine,4096,458078188.5,59511917.5,458078188.5,512,536870912,14,7818909.428571428,30554980.14285714
1,natural,4096,462623497.0,40844133.0,462652619.0,512,536870912,14,7762286.857142857,25225614.42857143
2,4096,4096,236806977.0,45800385.5,236876222.0,512,536870912,14,7498175.857142857,21732305.14285714
2,best,64,266329074.5,15712898.5,266377303.0,512,536870912,14,7528741.571428572,28868380.0
2,engine,4096,273795885.5,36898524.0,273795885.5,512,536870912,14,7673056.428571428,23914592.0
2,natural,4096,267372273.0,38120091.0,267437680.5,512,536870912,14,7179246.571428572,23880121.14285714
4,4096,4096,239980597.0,29819570.0,240036956.0,512,536870912,14,7546258.285714285,25095473.57142857
4,best,64,224965339.0,33364261.5,225026021.0,512,536870912,14,7553001.428571428,22202574.85714286
4,engine,4096,285463464.5,69241365.0,285463464.5,512,536870912,14,7806343.142857143,28072306.85714286
4,natural,4096,267377845.5,22272693.5,267422191.5,512,536870912,14,6932315.142857143,23736469.714285713
8,4096,4096,249827913.5,21975658.5,249920078.0,512,536870912,14,7662493.142857143,24724066.0
8,best,64,282534483.0,18253545.0,282607895.5,512,536870912,14,7654254.428571428,23740254.85714286
8,engine,4096,387837114.5,73235871.5,387837114.5,512,536870912,14,7973166.0,44286938.85714286
8,natural,4096,298900550.5,36287260.0,298959254.0,512,536870912,14,6761669.285714285,32559925.0
16,4096,4096,295479037.5,39813327.0,295576537.5,512,536870912,14,7815655.857142857,25725279.0
16,best,64,315892889.0,52706835.5,315985149.0,512,536870912,14,7846502.142857143,29056645.0
16,engine,4096,272751088.0,30900739.5,272751088.0,512,536870912,14,8789398.57142857,24168108.14285714
16,natural,4096,355910673.0,83042042.0,356029053.5,512,536870912,14,6995029.857142857,33453164.0
