mode,dir,arm,offset,size,depth,workers,alignment,page_offset,kc,ops_per_rep,io_ns_median,io_ns_mad,wall_ns_per_op,minflt_io_median,instructions_per_op,cycles_per_op,thread_op_ns_median
ladder,read,a0,0,4096,1,1,16,16,16,16,22917.0,77.5,1432.3125,0.0,2384.2946428571427,1822.1160714285713,
ladder,read,a0,0,4096,2,1,16,16,16,16,22746.5,63.5,1421.65625,0.0,2384.375,-79.22321428571429,
ladder,read,a0,0,4096,4,1,16,16,16,16,22771.5,60.0,1423.21875,0.0,2383.1785714285716,977.375,
ladder,read,a0,0,4096,8,1,16,16,16,16,22817.0,81.5,1426.0625,0.0,2383.464285714286,1012.7678571428571,
ladder,read,a0,0,4096,16,1,16,16,16,16,22877.5,61.5,1429.84375,0.0,2382.160714285714,-736.0625,
ladder,read,a0,0,4096,32,1,16,16,16,16,22720.5,49.0,1420.03125,0.0,2383.285714285714,641.1607142857143,
ladder,read,a0,0,8192,1,1,16,16,16,16,35004.0,106.0,2187.75,0.0,4277.571428571428,2219.9821428571427,
ladder,read,a0,0,8192,2,1,16,16,16,16,35055.5,99.5,2190.96875,0.0,4277.651785714285,507.92857142857144,
ladder,read,a0,0,8192,4,1,16,16,16,16,36844.0,125.0,2302.75,0.0,4277.232142857143,794.4732142857143,
ladder,read,a0,0,8192,8,1,16,16,16,16,35028.0,238.0,2189.25,0.0,4278.375,1164.0982142857142,
ladder,read,a0,0,8192,16,1,16,16,16,16,35168.5,172.5,2198.03125,0.0,4276.919642857143,974.7053571428571,
ladder,read,a0,0,8192,32,1,16,16,16,16,34933.0,174.5,2183.3125,0.0,4278.3125,1955.4910714285713,
ladder,read,a0,0,16384,1,1,16,16,16,16,58020.0,255.0,3626.25,0.0,8062.767857142857,1402.6875,
ladder,read,a0,0,16384,2,1,16,16,16,16,58237.5,390.5,3639.84375,0.0,8063.0625,2977.285714285714,
ladder,read,a0,0,16384,4,1,16,16,16,16,57427.0,138.5,3589.1875,0.0,8063.125,2201.4464285714284,
ladder,read,a0,0,16384,8,1,16,16,16,16,46422.5,297.5,2901.40625,0.0,8062.8125,1172.107142857143,
ladder,read,a0,0,16384,16,1,16,16,16,16,57851.5,168.0,3615.71875,0.0,8064.973214285715,4949.25,
ladder,read,a0,0,16384,32,1,16,16,16,16,58039.5,170.5,3627.46875,0.0,8066.428571428572,2570.8839285714284,
ladder,read,a0,0,65536,1,1,16,16,16,16,190237.5,1499.5,11889.84375,0.0,30780.20535714286,9393.86607142857,
ladder,read,a0,0,65536,2,1,16,16,16,16,191834.5,6828.0,11989.65625,0.0,30780.35714285714,9242.19642857143,
ladder,read,a0,0,65536,4,1,16,16,16,16,192088.5,1334.0,12005.53125,0.0,30781.5,9763.160714285714,
ladder,read,a0,0,65536,8,1,16,16,16,16,154439.5,536.5,9652.46875,0.0,30780.196428571428,7917.8125,
ladder,read,a0,0,65536,16,1,16,16,16,16,190652.0,1032.0,11915.75,0.0,30783.491071428572,9109.3125,
ladder,read,a0,0,65536,32,1,16,16,16,16,185063.0,3612.0,11566.4375,0.0,30783.839285714286,9596.901785714286,
ladder,read,a0,0,1048576,1,1,16,16,16,16,2742592.0,23794.0,171412.0,0.0,485103.5,178246.1607142857,
ladder,read,a0,0,1048576,2,1,16,16,16,16,2829087.5,37295.0,176817.96875,0.0,485102.97321428574,189496.95535714287,
ladder,read,a0,0,1048576,4,1,16,16,16,16,3054616.0,49488.5,190913.5,0.0,485103.3125,210129.55357142858,
ladder,read,a0,0,1048576,8,1,16,16,16,16,2568061.5,165813.5,160503.84375,0.0,485102.45535714284,179139.4375,
ladder,read,a0,0,1048576,16,1,16,16,16,16,3010154.5,32550.5,188134.65625,0.0,485101.66071428574,212024.63392857142,
ladder,read,a0,0,1048576,32,1,16,16,16,16,2737855.0,94675.0,171115.9375,0.0,485101.5,229809.05357142858,
ladder,read,a1,0,4096,1,1,64,0,16,16,20844.5,100.0,1302.78125,0.0,2381.6071428571427,691.7678571428571,
ladder,read,a1,0,4096,2,1,64,0,16,16,20858.0,117.5,1303.625,0.0,2381.5803571428573,1122.419642857143,
ladder,read,a1,0,4096,4,1,64,0,16,16,19990.0,47.5,1249.375,0.0,2382.0089285714284,282.625,
ladder,read,a1,0,4096,8,1,64,0,16,16,19996.0,35.5,1249.75,0.0,2382.1160714285716,474.38392857142856,
ladder,read,a1,0,4096,16,1,64,0,16,16,19952.0,148.0,1247.0,0.0,2382.9196428571427,589.1160714285714,
ladder,read,a1,0,4096,32,1,64,0,16,16,19917.5,41.5,1244.84375,0.0,2382.0803571428573,-275.66964285714283,
ladder,read,a1,0,8192,1,1,64,0,16,16,27059.5,116.0,1691.21875,0.0,4275.589285714285,868.5267857142857,
ladder,read,a1,0,8192,2,1,64,0,16,16,27148.0,54.0,1696.75,0.0,4276.723214285715,795.5892857142857,
ladder,read,a1,0,8192,4,1,64,0,16,16,25985.5,36.5,1624.09375,0.0,4275.785714285715,1000.1160714285714,
ladder,read,a1,0,8192,8,1,64,0,16,16,26261.5,69.5,1641.34375,0.0,4276.205357142857,1558.0,
ladder,read,a1,0,8192,16,1,64,0,16,16,27602.0,85.0,1725.125,0.0,4277.803571428572,1026.7410714285713,
ladder,read,a1,0,8192,32,1,64,0,16,16,25963.5,94.5,1622.71875,0.0,4277.473214285715,1001.8482142857143,
ladder,read,a1,0,16384,1,1,64,0,16,16,46611.5,130.0,2913.21875,0.0,8063.758928571428,2617.1339285714284,
ladder,read,a1,0,16384,2,1,64,0,16,16,47459.0,256.5,2966.1875,0.0,8062.875,930.0803571428571,
ladder,read,a1,0,16384,4,1,64,0,16,16,38078.5,199.0,2379.90625,0.0,8063.241071428572,5164.910714285715,
ladder,read,a1,0,16384,8,1,64,0,16,16,47578.0,166.5,2973.625,0.0,8063.125,4357.607142857143,
ladder,read,a1,0,16384,16,1,64,0,16,16,47184.5,210.0,2949.03125,0.0,8065.535714285715,2950.3125,
ladder,read,a1,0,16384,32,1,64,0,16,16,48208.5,653.0,3013.03125,0.0,8063.973214285715,3340.7410714285716,
ladder,read,a1,0,65536,1,1,64,0,16,16,151747.5,253.0,9484.21875,0.0,30778.285714285714,9681.982142857143,
ladder,read,a1,0,65536,2,1,64,0,16,16,132103.0,400.0,8256.4375,0.0,30779.473214285714,10704.75,
ladder,read,a1,0,65536,4,1,64,0,16,16,160644.0,369.0,10040.25,0.0,30779.33035714286,9962.660714285714,
ladder,read,a1,0,65536,8,1,64,0,16,16,154177.5,2697.5,9636.09375,0.0,30779.10714285714,9963.642857142857,
ladder,read,a1,0,65536,16,1,64,0,16,16,149558.5,227.5,9347.40625,0.0,30782.678571428572,7010.446428571428,
ladder,read,a1,0,65536,32,1,64,0,16,16,150906.5,381.5,9431.65625,0.0,30781.839285714286,9928.848214285714,
ladder,read,a1,0,1048576,1,1,64,0,16,16,2606127.5,45372.5,162882.96875,0.0,485101.64285714284,192254.41964285713,
ladder,read,a1,0,1048576,2,1,64,0,16,16,2733342.0,41981.0,170833.875,0.0,485100.3035714286,204215.35714285713,
ladder,read,a1,0,1048576,4,1,64,0,16,16,2685851.5,50466.0,167865.71875,0.0,485102.35714285716,175427.75892857142,
ladder,read,a1,0,1048576,8,1,64,0,16,16,2502389.5,39378.0,156399.34375,0.0,485103.0,179438.4017857143,
ladder,read,a1,0,1048576,16,1,64,0,16,16,2680031.0,143032.0,167501.9375,0.0,485100.78571428574,202867.75,
ladder,read,a1,0,1048576,32,1,64,0,16,16,2466411.0,54009.0,154150.6875,0.0,485101.77678571426,189024.99107142858,
ladder,read,a2,0,4096,1,1,128,0,16,16,19948.5,35.0,1246.78125,0.0,2382.2946428571427,942.7589285714286,
ladder,read,a2,0,4096,2,1,128,0,16,16,19869.5,44.5,1241.84375,0.0,2383.223214285714,1724.75,
ladder,read,a2,0,4096,4,1,128,0,16,16,16004.5,34.0,1000.28125,0.0,2381.348214285714,2841.223214285714,
ladder,read,a2,0,4096,8,1,128,0,16,16,20044.0,42.5,1252.75,0.0,2382.9821428571427,514.7321428571429,
ladder,read,a2,0,4096,16,1,128,0,16,16,19780.0,29.5,1236.25,0.0,2382.5625,1038.4017857142858,
ladder,read,a2,0,4096,32,1,128,0,16,16,20924.0,32.0,1307.75,0.0,2382.535714285714,854.8660714285714,
ladder,read,a2,0,8192,1,1,128,0,16,16,20667.5,68.0,1291.71875,0.0,4277.205357142857,1837.232142857143,
ladder,read,a2,0,8192,2,1,128,0,16,16,25903.5,38.0,1618.96875,0.0,4276.580357142857,1122.9910714285713,
ladder,read,a2,0,8192,4,1,128,0,16,16,26018.0,95.0,1626.125,0.0,4276.276785714285,1170.107142857143,
ladder,read,a2,0,8192,8,1,128,0,16,16,26006.5,63.0,1625.40625,0.0,4277.1875,1581.419642857143,
ladder,read,a2,0,8192,16,1,128,0,16,16,27280.5,173.0,1705.03125,0.0,4277.178571428572,983.9821428571429,
ladder,read,a2,0,8192,32,1,128,0,16,16,26138.5,88.5,1633.65625,0.0,4276.392857142857,1893.9107142857142,
ladder,read,a2,0,16384,1,1,128,0,16,16,47127.5,251.5,2945.46875,0.0,8061.178571428572,2868.0178571428573,
ladder,read,a2,0,16384,2,1,128,0,16,16,47111.0,145.0,2944.4375,0.0,8061.964285714285,2135.285714285714,
ladder,read,a2,0,16384,4,1,128,0,16,16,47608.5,395.0,2975.53125,0.0,8061.857142857143,4367.651785714285,
ladder,read,a2,0,16384,8,1,128,0,16,16,47962.0,541.0,2997.625,0.0,8060.991071428572,2745.5714285714284,
ladder,read,a2,0,16384,16,1,128,0,16,16,47875.0,1075.5,2992.1875,0.0,8063.464285714285,3039.214285714286,
ladder,read,a2,0,16384,32,1,128,0,16,16,47052.5,247.0,2940.78125,0.0,8064.75,3189.964285714286,
ladder,read,a2,0,65536,1,1,128,0,16,16,149272.5,334.0,9329.53125,0.0,30778.508928571428,8281.42857142857,
ladder,read,a2,0,65536,2,1,128,0,16,16,152905.5,405.0,9556.59375,0.0,30779.95535714286,7468.946428571428,
ladder,read,a2,0,65536,4,1,128,0,16,16,149709.0,201.5,9356.8125,0.0,30779.633928571428,8266.5,
ladder,read,a2,0,65536,8,1,128,0,16,16,147977.5,320.0,9248.59375,0.0,30780.383928571428,9125.13392857143,
ladder,read,a2,0,65536,16,1,128,0,16,16,152319.5,940.0,9519.96875,0.0,30781.0625,9583.589285714286,
ladder,read,a2,0,65536,32,1,128,0,16,16,152078.0,372.5,9504.875,0.0,30781.464285714286,10162.375,
ladder,read,a2,0,1048576,1,1,128,0,16,16,2702348.5,75902.0,168896.78125,0.0,485102.75,200508.26785714287,
ladder,read,a2,0,1048576,2,1,128,0,16,16,2745548.0,51315.0,171596.75,0.0,485101.03571428574,201561.16964285713,
ladder,read,a2,0,1048576,4,1,128,0,16,16,2845883.5,54191.5,177867.71875,0.0,485102.4285714286,211811.89285714287,
ladder,read,a2,0,1048576,8,1,128,0,16,16,2594428.5,32989.0,162151.78125,0.0,485101.39285714284,191886.61607142858,
ladder,read,a2,0,1048576,16,1,128,0,16,16,2694946.5,33983.0,168434.15625,0.0,485101.9375,190579.0267857143,
ladder,read,a2,0,1048576,32,1,128,0,16,16,2447685.5,100410.5,152980.34375,0.0,485101.41964285716,188128.67857142858,
ladder,read,a3,0,4096,1,1,256,0,16,16,20039.5,38.5,1252.46875,0.0,2383.375,556.0267857142857,
ladder,read,a3,0,4096,2,1,256,0,16,16,20031.0,38.0,1251.9375,0.0,2382.589285714286,477.6517857142857,
ladder,read,a3,0,4096,4,1,256,0,16,16,19956.5,60.5,1247.28125,0.0,2382.973214285714,1951.205357142857,
ladder,read,a3,0,4096,8,1,256,0,16,16,20054.0,73.0,1253.375,0.0,2383.5089285714284,-2081.5535714285716,
ladder,read,a3,0,4096,16,1,256,0,16,16,19968.5,18.0,1248.03125,0.0,2383.0178571428573,1376.7410714285713,
ladder,read,a3,0,4096,32,1,256,0,16,16,20725.5,46.5,1295.34375,0.0,2382.1785714285716,1133.7767857142858,
