mode,dir,arm,offset,size,depth,workers,alignment,page_offset,kc,ops_per_rep,io_ns_median,io_ns_mad,wall_ns_per_op,minflt_io_median,instructions_per_op,cycles_per_op,thread_op_ns_median
ladder,read,a0,0,4096,1,1,16,16,16,16,33590.5,30.0,2099.40625,0.0,2400.3839285714284,363.0892857142857,
ladder,read,a0,0,4096,2,1,16,16,16,16,35739.5,29.5,2233.71875,0.0,2399.0803571428573,2533.6696428571427,
ladder,read,a0,0,4096,4,1,16,16,16,16,35855.0,141.0,2240.9375,0.0,2398.9464285714284,5468.767857142857,
ladder,read,a0,0,4096,8,1,16,16,16,16,33896.0,105.0,2118.5,0.0,2400.0625,-5388.285714285715,
ladder,read,a0,0,4096,16,1,16,16,16,16,49752.0,1668.0,3109.5,0.0,2400.3125,9186.38392857143,
ladder,read,a0,0,4096,32,1,16,16,16,16,32859.0,45.0,2053.6875,0.0,2400.3035714285716,344.76785714285717,
ladder,read,a0,0,8192,1,1,16,16,16,16,54651.5,95.5,3415.71875,0.0,4291.660714285715,2251.1696428571427,
ladder,read,a0,0,8192,2,1,16,16,16,16,55819.0,105.5,3488.6875,0.0,4291.098214285715,1865.8482142857142,
ladder,read,a0,0,8192,4,1,16,16,16,16,56560.5,60.5,3535.03125,0.0,4290.776785714285,1557.0,
ladder,read,a0,0,8192,8,1,16,16,16,16,56134.5,85.0,3508.40625,0.0,4289.875,1868.6607142857142,
ladder,read,a0,0,8192,16,1,16,16,16,16,56500.5,190.0,3531.28125,0.0,4292.276785714285,1740.080357142857,
ladder,read,a0,0,8192,32,1,16,16,16,16,57266.5,160.5,3579.15625,0.0,4291.223214285715,-3738.3125,
ladder,read,a0,0,16384,1,1,16,16,16,16,98773.0,772.0,6173.3125,0.0,8072.580357142857,3463.910714285714,
ladder,read,a0,0,16384,2,1,16,16,16,16,98041.0,470.5,6127.5625,0.0,8070.973214285715,3984.7678571428573,
ladder,read,a0,0,16384,4,1,16,16,16,16,109959.5,9633.5,6872.46875,0.0,8074.357142857143,-264.29464285714283,
ladder,read,a0,0,16384,8,1,16,16,16,16,102304.5,1071.5,6394.03125,0.0,8074.178571428572,473.19642857142856,
ladder,read,a0,0,16384,16,1,16,16,16,16,97455.0,1608.0,6090.9375,0.0,8072.473214285715,4016.4910714285716,
ladder,read,a0,0,16384,32,1,16,16,16,16,100706.5,3151.0,6294.15625,0.0,8075.008928571428,3947.3660714285716,
ladder,read,a0,0,65536,1,1,16,16,16,16,383629.0,23255.0,23976.8125,0.0,30764.714285714286,30644.0,
ladder,read,a0,0,65536,2,1,16,16,16,16,395056.0,9368.0,24691.0,0.0,30770.54464285714,11285.50892857143,
ladder,read,a0,0,65536,4,1,16,16,16,16,352939.0,3963.0,22058.6875,0.0,30765.5625,8820.69642857143,
ladder,read,a0,0,65536,8,1,16,16,16,16,453219.5,50453.5,28326.21875,0.0,30764.383928571428,18451.428571428572,
ladder,read,a0,0,65536,16,1,16,16,16,16,367963.0,4399.0,22997.6875,0.0,30769.964285714286,10489.660714285714,
ladder,read,a0,0,65536,32,1,16,16,16,16,369836.5,6788.0,23114.78125,0.0,30768.660714285714,8484.07142857143,
ladder,read,a0,0,1048576,1,1,16,16,16,16,5953707.0,75938.5,372106.6875,0.0,484607.1785714286,132807.86607142858,
ladder,read,a0,0,1048576,2,1,16,16,16,16,6076240.0,105775.5,379765.0,0.0,484607.6964285714,132248.82142857142,
ladder,read,a0,0,1048576,4,1,16,16,16,16,6092517.0,72296.0,380782.3125,0.0,484608.5625,132765.99107142858,
ladder,read,a0,0,1048576,8,1,16,16,16,16,5996851.0,73613.5,374803.1875,0.0,484607.41071428574,146027.92857142858,
ladder,read,a0,0,1048576,16,1,16,16,16,16,6480724.5,172130.5,405045.28125,0.0,484611.0625,144757.29464285713,
ladder,read,a0,0,1048576,32,1,16,16,16,16,11056745.0,1170027.0,691046.5625,0.0,484609.2589285714,469299.51785714284,
ladder,read,a1,0,4096,1,1,64,0,16,16,15445.0,35.0,965.3125,0.0,2397.6964285714284,1492.0535714285713,
ladder,read,a1,0,4096,2,1,64,0,16,16,15600.0,24.5,975.0,0.0,2397.5714285714284,2341.151785714286,
ladder,read,a1,0,4096,4,1,64,0,16,16,15951.0,10.0,996.9375,0.0,2398.598214285714,222.3125,
ladder,read,a1,0,4096,8,1,64,0,16,16,15375.0,95.0,960.9375,0.0,2398.6339285714284,571.1517857142857,
ladder,read,a1,0,4096,16,1,64,0,16,16,15765.5,160.0,985.34375,0.0,2397.339285714286,423.64285714285717,
ladder,read,a1,0,4096,32,1,64,0,16,16,15621.0,29.0,976.3125,0.0,2398.4910714285716,-296.30357142857144,
ladder,read,a1,0,8192,1,1,64,0,16,16,18842.0,90.0,1177.625,0.0,4290.348214285715,1672.4375,
ladder,read,a1,0,8192,2,1,64,0,16,16,18596.0,85.0,1162.25,0.0,4290.160714285715,2516.9285714285716,
ladder,read,a1,0,8192,4,1,64,0,16,16,19227.5,30.0,1201.71875,0.0,4290.0625,784.9107142857143,
ladder,read,a1,0,8192,8,1,64,0,16,16,18466.0,40.0,1154.125,0.0,4290.5,4507.732142857143,
ladder,read,a1,0,8192,16,1,64,0,16,16,20470.0,196.0,1279.375,0.0,4290.714285714285,969.7321428571429,
ladder,read,a1,0,8192,32,1,64,0,16,16,20300.0,60.0,1268.75,0.0,4289.410714285715,8549.30357142857,
ladder,read,a1,0,16384,1,1,64,0,16,16,28967.0,375.5,1810.4375,0.0,8072.607142857143,1768.107142857143,
ladder,read,a1,0,16384,2,1,64,0,16,16,31346.0,475.5,1959.125,0.0,8072.464285714285,2926.0,
ladder,read,a1,0,16384,4,1,64,0,16,16,28330.0,435.5,1770.625,0.0,8070.508928571428,1581.142857142857,
ladder,read,a1,0,16384,8,1,64,0,16,16,28986.5,340.5,1811.65625,0.0,8071.741071428572,582.8392857142857,
ladder,read,a1,0,16384,16,1,64,0,16,16,28711.5,832.5,1794.46875,0.0,8074.1875,3080.8660714285716,
ladder,read,a1,0,16384,32,1,64,0,16,16,28370.0,1483.0,1773.125,0.0,8074.330357142857,599.0982142857143,
ladder,read,a1,0,65536,1,1,64,0,16,16,81594.5,3186.5,5099.65625,0.0,30763.696428571428,6518.651785714285,
ladder,read,a1,0,65536,2,1,64,0,16,16,125890.5,2019.0,7868.15625,0.0,30765.901785714286,34806.99107142857,
ladder,read,a1,0,65536,4,1,64,0,16,16,113656.5,34602.5,7103.53125,0.0,30765.04464285714,35986.21428571428,
ladder,read,a1,0,65536,8,1,64,0,16,16,86249.0,1579.0,5390.5625,0.0,30761.758928571428,11805.375,
ladder,read,a1,0,65536,16,1,64,0,16,16,84314.5,10976.0,5269.65625,0.0,30767.1875,6009.276785714285,
ladder,read,a1,0,65536,32,1,64,0,16,16,71735.0,281.0,4483.4375,0.0,30767.535714285714,9380.401785714286,
ladder,read,a1,0,1048576,1,1,64,0,16,16,1569831.5,99459.0,98114.46875,0.0,484606.1339285714,121799.02678571429,
ladder,read,a1,0,1048576,2,1,64,0,16,16,1610717.0,88062.0,100669.8125,0.0,484606.91071428574,123681.92857142857,
ladder,read,a1,0,1048576,4,1,64,0,16,16,1504509.0,63539.0,94031.8125,0.0,484606.83928571426,135467.5357142857,
ladder,read,a1,0,1048576,8,1,64,0,16,16,1550609.5,52683.0,96913.09375,0.0,484606.0714285714,125019.74107142857,
ladder,read,a1,0,1048576,16,1,64,0,16,16,1638831.5,84915.5,102426.96875,0.0,484606.73214285716,152970.63392857142,
ladder,read,a1,0,1048576,32,1,64,0,16,16,1906698.5,114082.0,119168.65625,0.0,484606.5535714286,68413.85714285714,
