mode,dir,arm,offset,size,depth,workers,alignment,page_offset,kc,ops_per_rep,io_ns_median,io_ns_mad,wall_ns_per_op,minflt_io_median,instructions_per_op,cycles_per_op,thread_op_ns_median
offset,read,a0,0,4096,1,1,0,0,16,16,20628.0,366.0,1289.25,0.0,2381.8571428571427,1438.044642857143,
offset,read,a0,16,4096,1,1,16,16,16,16,22641.5,66.5,1415.09375,0.0,2384.3125,1280.6160714285713,
offset,read,a0,32,4096,1,1,32,32,16,16,20884.5,49.0,1305.28125,0.0,2384.160714285714,647.4017857142857,
offset,read,a0,64,4096,1,1,64,64,16,16,21339.0,45.0,1333.6875,0.0,2383.6964285714284,-880.125,
offset,read,a0,128,4096,1,1,128,128,16,16,20769.5,48.0,1298.09375,0.0,2386.0803571428573,1397.25,
offset,read,a0,256,4096,1,1,256,256,16,16,19873.5,27.0,1242.09375,0.0,2386.7053571428573,888.2142857142857,
offset,read,a0,512,4096,1,1,512,512,16,16,20067.0,35.5,1254.1875,0.0,2386.1428571428573,-1876.5357142857142,
offset,read,a0,1024,4096,1,1,1024,1024,16,16,19975.5,55.0,1248.46875,0.0,2384.285714285714,833.5178571428571,
offset,read,a0,2048,4096,1,1,2048,2048,16,16,19737.0,23.5,1233.5625,0.0,2384.026785714286,-1045.919642857143,
offset,read,a0,0,65536,1,1,0,0,16,16,154978.5,629.0,9686.15625,0.0,30777.776785714286,8287.25892857143,
offset,read,a0,16,65536,1,1,16,16,16,16,186786.0,4401.0,11674.125,0.0,30783.08035714286,7640.214285714285,
offset,read,a0,32,65536,1,1,32,32,16,16,156378.0,563.0,9773.625,0.0,30782.41964285714,7854.794642857143,
offset,read,a0,64,65536,1,1,64,64,16,16,152550.0,689.5,9534.375,0.0,30783.196428571428,9990.348214285714,
offset,read,a0,128,65536,1,1,128,128,16,16,159698.0,847.0,9981.125,0.0,30779.366071428572,11057.57142857143,
offset,read,a0,256,65536,1,1,256,256,16,16,152000.0,452.0,9500.0,0.0,30781.098214285714,7698.9375,
offset,read,a0,512,65536,1,1,512,512,16,16,161387.0,544.0,10086.6875,0.0,30780.883928571428,8791.098214285714,
offset,read,a0,1024,65536,1,1,1024,1024,16,16,153765.5,399.5,9610.34375,0.0,30780.616071428572,8826.24107142857,
offset,read,a0,2048,65536,1,1,2048,2048,16,16,146709.5,3233.5,9169.34375,0.0,30782.0625,10543.767857142857,
offset,read,a0,0,1048576,1,1,0,0,16,16,2975681.5,87483.5,185980.09375,0.0,485101.0,217027.9642857143,
offset,read,a0,16,1048576,1,1,16,16,16,16,3129744.5,77549.0,195609.03125,0.0,485102.9910714286,208700.8392857143,
offset,read,a0,32,1048576,1,1,32,32,16,16,2975334.0,74632.0,185958.375,0.0,485103.6785714286,209323.86607142858,
offset,read,a0,64,1048576,1,1,64,64,16,16,2885022.5,7201.5,180313.90625,0.0,485102.5,202695.3482142857,
offset,read,a0,128,1048576,1,1,128,128,16,16,2869859.0,6926.5,179366.1875,0.0,485104.58928571426,206299.10714285713,
offset,read,a0,256,1048576,1,1,256,256,16,16,2701839.5,54713.5,168864.96875,0.0,485102.5714285714,195095.24107142858,
offset,read,a0,512,1048576,1,1,512,512,16,16,2893539.0,45146.0,180846.1875,0.0,485103.58928571426,211299.61607142858,
offset,read,a0,1024,1048576,1,1,1024,1024,16,16,2823077.5,34917.5,176442.34375,0.0,485102.41964285716,200000.3392857143,
offset,read,a0,2048,1048576,1,1,2048,2048,16,16,2863895.5,16491.5,178993.46875,0.0,485102.8035714286,210072.3482142857,
offset,write,a0,0,4096,1,1,0,0,16,16,51786.0,301.5,3236.625,0.0,478.125,-3156.8125,
offset,write,a0,16,4096,1,1,16,16,16,16,52270.5,368.0,3266.90625,0.0,480.2142857142857,-662.7410714285714,
offset,write,a0,32,4096,1,1,32,32,16,16,51982.5,117.0,3248.90625,0.0,479.88392857142856,-386.8125,
offset,write,a0,64,4096,1,1,64,64,16,16,51958.0,370.5,3247.375,0.0,481.0357142857143,219.07142857142858,
offset,write,a0,128,4096,1,1,128,128,16,16,52303.0,111.0,3268.9375,0.0,479.16964285714283,2420.1964285714284,
offset,write,a0,256,4096,1,1,256,256,16,16,52398.0,369.5,3274.875,0.0,478.5267857142857,2124.2678571428573,
offset,write,a0,512,4096,1,1,512,512,16,16,51978.5,258.0,3248.65625,0.0,479.01785714285717,-19.607142857142858,
offset,write,a0,1024,4096,1,1,1024,1024,16,16,51806.0,234.5,3237.875,0.0,471.92857142857144,-1058.1339285714287,
offset,write,a0,2048,4096,1,1,2048,2048,16,16,52279.0,253.5,3267.4375,0.0,482.8482142857143,524.2767857142857,
offset,write,a0,0,65536,1,1,0,0,16,16,424039.5,10195.0,26502.46875,0.0,481.8125,1952.9732142857142,
offset,write,a0,16,65536,1,1,16,16,16,16,408792.5,9443.5,25549.53125,0.0,480.58035714285717,1444.955357142857,
offset,write,a0,32,65536,1,1,32,32,16,16,424471.0,4221.5,26529.4375,0.0,480.30357142857144,1476.482142857143,
offset,write,a0,64,65536,1,1,64,64,16,16,419381.0,8415.0,26211.3125,0.0,480.16964285714283,210.02678571428572,
offset,write,a0,128,65536,1,1,128,128,16,16,421935.5,7821.5,26370.96875,0.0,481.0982142857143,317.86607142857144,
offset,write,a0,256,65536,1,1,256,256,16,16,416006.0,9464.0,26000.375,0.0,480.88392857142856,-566.9196428571429,
offset,write,a0,512,65536,1,1,512,512,16,16,468745.5,8482.0,29296.59375,0.0,481.1607142857143,-494.5267857142857,
