mode,dir,arm,offset,size,depth,workers,alignment,page_offset,kc,ops_per_rep,io_ns_median,io_ns_mad,wall_ns_per_op,minflt_io_median,instructions_per_op,cycles_per_op,thread_op_ns_median
offset,read,a0,0,4096,1,1,0,0,16,16,11372.5,9.5,710.78125,0.0,2398.3125,-2139.2589285714284,
offset,read,a0,16,4096,1,1,16,16,16,16,27488.0,44.5,1718.0,0.0,2398.151785714286,-2024.6339285714287,
offset,read,a0,32,4096,1,1,32,32,16,16,11548.0,90.0,721.75,0.0,2399.4464285714284,-149.13392857142858,
offset,read,a0,64,4096,1,1,64,64,16,16,13606.0,20.0,850.375,0.0,2398.9821428571427,4371.455357142857,
offset,read,a0,128,4096,1,1,128,128,16,16,11803.0,35.0,737.6875,0.0,2400.1339285714284,2999.535714285714,
offset,read,a0,256,4096,1,1,256,256,16,16,11843.0,25.0,740.1875,0.0,2400.214285714286,2261.8660714285716,
offset,read,a0,512,4096,1,1,512,512,16,16,11768.0,25.0,735.5,0.0,2400.6696428571427,-26.803571428571427,
offset,read,a0,1024,4096,1,1,1024,1024,16,16,11332.0,40.0,708.25,0.0,2399.9553571428573,331.50892857142856,
offset,read,a0,2048,4096,1,1,2048,2048,16,16,11918.0,25.0,744.875,0.0,2400.348214285714,-3100.098214285714,
offset,read,a0,0,65536,1,1,0,0,16,16,77090.5,4524.0,4818.15625,0.0,30764.20535714286,12449.473214285714,
offset,read,a0,16,65536,1,1,16,16,16,16,329332.0,8161.0,20583.25,0.0,30766.348214285714,5677.473214285715,
offset,read,a0,32,65536,1,1,32,32,16,16,85000.0,1834.0,5312.5,0.0,30768.660714285714,18480.285714285714,
offset,read,a0,64,65536,1,1,64,64,16,16,66775.0,706.5,4173.4375,0.0,30766.23214285714,8271.625,
offset,read,a0,128,65536,1,1,128,128,16,16,69805.5,786.0,4362.84375,0.0,30765.089285714286,5744.1875,
offset,read,a0,256,65536,1,1,256,256,16,16,82821.5,686.5,5176.34375,0.0,30765.23214285714,13485.38392857143,
offset,read,a0,512,65536,1,1,512,512,16,16,66775.0,2870.5,4173.4375,0.0,30765.910714285714,7366.142857142857,
offset,read,a0,1024,65536,1,1,1024,1024,16,16,77616.0,3386.5,4851.0,0.0,30765.35714285714,13266.160714285714,
offset,read,a0,2048,65536,1,1,2048,2048,16,16,67922.5,2540.0,4245.15625,0.0,30765.625,8441.839285714286,
offset,read,a0,0,1048576,1,1,0,0,16,16,1376913.0,52046.0,86057.0625,0.0,484607.97321428574,122797.53571428571,
offset,read,a0,16,1048576,1,1,16,16,16,16,5729070.0,52833.5,358066.875,0.0,484607.25,135020.125,
offset,read,a0,32,1048576,1,1,32,32,16,16,1434049.5,86142.5,89628.09375,0.0,484607.83035714284,145406.0,
offset,read,a0,64,1048576,1,1,64,64,16,16,1704437.5,118977.5,106527.34375,0.0,484608.1160714286,142334.30357142858,
offset,read,a0,128,1048576,1,1,128,128,16,16,1422226.5,94549.0,88889.15625,0.0,484609.7410714286,131529.95535714287,
offset,read,a0,256,1048576,1,1,256,256,16,16,1408270.0,50148.5,88016.875,0.0,484610.23214285716,106231.88392857143,
offset,read,a0,512,1048576,1,1,512,512,16,16,1423975.0,61890.5,88998.4375,0.0,484608.97321428574,127472.25,
offset,read,a0,1024,1048576,1,1,1024,1024,16,16,1401626.5,56635.5,87601.65625,0.0,484608.3839285714,124931.70535714286,
offset,read,a0,2048,1048576,1,1,2048,2048,16,16,1619977.0,200801.5,101248.5625,0.0,484610.83035714284,135760.48214285713,
