mode,dir,arm,offset,size,depth,workers,alignment,page_offset,kc,ops_per_rep,io_ns_median,io_ns_mad,wall_ns_per_op,minflt_io_median,instructions_per_op,cycles_per_op,thread_op_ns_median
threaded,read,a0,0,65536,1,2,16,16,16,32,273275.0,34218.5,8539.84375,0.0,31056.959821428572,10690.924107142857,12881
threaded,read,a0,0,65536,1,4,16,16,16,64,398535.5,23666.0,6227.1171875,0.0,31020.053571428572,11028.823660714286,13161
threaded,read,a0,0,65536,1,8,16,16,16,128,251794.5,29024.0,1967.14453125,0.0,31010.15066964286,10715.69419642857,12749
threaded,read,a0,0,65536,1,16,16,16,16,256,282056.5,13348.0,1101.783203125,0.0,31020.0,11102.964285714286,13037
threaded,read,a0,0,65536,1,32,16,16,16,512,362328.0,5700.5,707.671875,0.0,31034.1484375,11832.793247767857,15787
threaded,read,a0,0,1048576,1,2,16,16,16,32,4709290.0,103689.0,147165.3125,0.0,485384.16964285716,236501.79464285713,281930
threaded,read,a0,0,1048576,1,4,16,16,16,64,4802868.0,151959.5,75044.8125,0.0,485346.78348214284,196712.8080357143,283118
threaded,read,a0,0,1048576,1,8,16,16,16,128,4735566.0,123704.0,36996.609375,0.0,485331.2098214286,190471.8939732143,287366
threaded,read,a0,0,1048576,1,16,16,16,16,256,9913205.5,382069.5,38723.458984375,0.0,485341.5089285714,464113.1121651786,489245
threaded,read,a0,0,1048576,1,32,16,16,8,256,12546110.5,449722.0,49008.244140625,0.0,485511.06640625,836669.7287946428,1063234
threaded,read,a7,0,65536,1,2,4096,0,16,32,347643.5,37872.0,10863.859375,0.0,31063.946428571428,10403.36607142857,11227
threaded,read,a7,0,65536,1,4,4096,0,16,64,238877.5,32872.5,3732.4609375,0.0,31024.100446428572,10817.16294642857,10523
threaded,read,a7,0,65536,1,8,4096,0,16,128,227235.0,9782.0,1775.2734375,0.0,31004.46875,11117.50669642857,10310
threaded,read,a7,0,65536,1,16,4096,0,16,256,244928.0,6519.5,956.75,0.0,31009.606026785714,10718.435825892857,10625
threaded,read,a7,0,65536,1,32,4096,0,16,512,315684.5,5287.0,616.5712890625,0.0,31023.19308035714,11109.200613839286,13909
threaded,read,a7,0,1048576,1,2,4096,0,16,32,4425030.5,67392.0,138282.203125,0.0,485392.15625,216310.57142857142,265956
threaded,read,a7,0,1048576,1,4,4096,0,16,64,4474111.0,41543.5,69907.984375,0.0,485354.97321428574,219673.46875,268739
threaded,read,a7,0,1048576,1,8,4096,0,16,128,4383161.5,160060.0,34243.44921875,0.0,485331.703125,196653.56026785713,264649
threaded,read,a7,0,1048576,1,16,4096,0,16,256,9268183.0,247495.0,36203.83984375,0.0,485337.73102678574,455097.2109375,467082
threaded,read,a7,0,1048576,1,32,4096,0,8,256,11318338.0,461347.5,44212.2578125,0.0,485512.55524553574,964355.40625,982481
threaded,write,a0,0,65536,1,2,16,16,16,32,1018379.5,28599.0,31824.359375,0.0,784.75,1835.6785714285713,58620
threaded,write,a0,0,65536,1,4,16,16,16,64,2010721.0,72013.5,31417.515625,0.0,722.3236607142857,2110.238839285714,122084
threaded,write,a0,0,65536,1,8,16,16,16,128,3672818.5,62661.0,28693.89453125,0.0,721.2667410714286,1854.845982142857,230586
threaded,write,a0,0,65536,1,16,16,16,16,256,9279311.0,155611.0,36247.30859375,0.0,719.9263392857143,3113.5145089285716,553034
threaded,write,a0,0,65536,1,32,16,16,16,512,16933940.0,601691.5,33074.1015625,0.0,736.583984375,2590.248604910714,324070
threaded,write,a0,0,1048576,1,2,16,16,16,32,15369423.5,383580.5,480294.484375,0.0,758.7901785714286,2332.714285714286,924973
threaded,write,a0,0,1048576,1,4,16,16,16,64,28466466.0,423044.0,444788.53125,0.0,726.0535714285714,199.55803571428572,1743977
threaded,write,a0,0,1048576,1,8,16,16,16,128,54146478.0,804235.0,423019.359375,0.0,705.6729910714286,1441.9765625,3301801
threaded,write,a0,0,1048576,1,16,16,16,16,256,144097064.5,1866483.5,562879.158203125,0.0,719.5825892857143,4911.409040178572,9171346
threaded,write,a0,0,1048576,1,32,16,16,8,256,145770789.0,931318.5,569417.14453125,0.0,898.1891741071429,8108.367745535715,15852436
threaded,write,a7,0,65536,1,2,4096,0,16,32,989953.5,33098.5,30936.046875,0.0,775.9464285714286,372.08482142857144,57837
threaded,write,a7,0,65536,1,4,4096,0,16,64,1985652.5,60890.5,31025.8203125,0.0,732.4575892857143,2299.745535714286,120141
threaded,write,a7,0,65536,1,8,4096,0,16,128,3665467.0,65198.5,28636.4609375,0.0,722.1171875,1883.1685267857142,231220
threaded,write,a7,0,65536,1,16,4096,0,16,256,9145745.5,206081.0,35725.568359375,0.0,714.51171875,2406.2405133928573,491673
threaded,write,a7,0,65536,1,32,4096,0,16,512,16526996.5,555440.0,32279.2900390625,0.0,733.3722098214286,2575.2912946428573,522811
threaded,write,a7,0,1048576,1,2,4096,0,16,32,15310939.5,499144.0,478466.859375,0.0,773.9107142857143,4309.486607142857,934001
threaded,write,a7,0,1048576,1,4,4096,0,16,64,29465750.0,681404.0,460402.34375,0.0,731.8303571428571,2131.0334821428573,1776052
threaded,write,a7,0,1048576,1,8,4096,0,16,128,52065116.0,524937.5,406758.71875,0.0,714.2254464285714,2602.6272321428573,3185982
threaded,write,a7,0,1048576,1,16,4096,0,16,256,139192981.5,1693349.5,543722.583984375,0.0,704.8415178571429,4769.224888392857,8979569
threaded,write,a7,0,1048576,1,32,4096,0,8,256,140561534.5,1807740.5,549068.494140625,0.0,886.4045758928571,7189.76953125,14524055
