mode,dir,arm,offset,size,depth,workers,alignment,page_offset,kc,ops_per_rep,io_ns_median,io_ns_mad,wall_ns_per_op,minflt_io_median,instructions_per_op,cycles_per_op,thread_op_ns_median
threaded,read,a0,0,65536,1,2,16,16,16,32,452373.5,46963.5,14136.671875,0.0,31047.15625,14822.45982142857,22063
threaded,read,a0,0,65536,1,4,16,16,16,64,500102.0,37740.5,7814.09375,0.0,30983.089285714286,11772.732142857143,24338
threaded,read,a0,0,65536,1,8,16,16,16,128,779536.0,126044.0,6090.125,0.0,30997.514508928572,10460.129464285714,26421
threaded,read,a0,0,65536,1,16,16,16,16,256,1316721.0,178215.5,5143.44140625,0.0,30991.25558035714,13159.83203125,27073
threaded,read,a0,0,65536,1,32,16,16,16,512,2062594.0,1110061.5,4028.50390625,0.0,31008.25223214286,12790.920200892857,27714
threaded,read,a0,0,1048576,1,2,16,16,16,32,6019248.5,195140.5,188101.515625,0.0,484902.1160714286,148313.11607142858,340625
threaded,read,a0,0,1048576,1,4,16,16,16,64,6888327.5,316006.5,107630.1171875,0.0,484845.8035714286,173227.75669642858,383078
threaded,read,a0,0,1048576,1,8,16,16,16,128,11976435.5,620172.5,93565.90234375,0.0,484830.9363839286,258472.9799107143,454457
threaded,read,a0,0,1048576,1,16,16,16,16,256,24521732.0,2361949.0,95788.015625,0.0,484841.95870535716,346048.60770089284,508543
threaded,read,a0,0,1048576,1,32,16,16,8,256,23999832.5,1248494.0,93749.345703125,0.0,485024.25837053574,371321.3152901786,566386
threaded,read,a7,0,65536,1,2,4096,0,16,32,168724.5,12961.0,5272.640625,0.0,31055.352678571428,12526.870535714286,5411
threaded,read,a7,0,65536,1,4,4096,0,16,64,143239.0,6883.0,2238.109375,0.0,30998.9375,13500.158482142857,5391
threaded,read,a7,0,65536,1,8,4096,0,16,128,221859.0,11434.5,1733.2734375,0.0,30987.003348214286,11344.222098214286,7284
threaded,read,a7,0,65536,1,16,4096,0,16,256,212242.5,23505.5,829.072265625,0.0,30975.359375,12037.140066964286,8216
threaded,read,a7,0,65536,1,32,4096,0,16,512,281580.0,22293.5,549.9609375,0.0,30998.055245535714,12421.894810267857,8687
threaded,read,a7,0,1048576,1,2,4096,0,16,32,2164341.5,111726.5,67635.671875,0.0,484895.64285714284,176844.75,113291
threaded,read,a7,0,1048576,1,4,4096,0,16,64,2593687.0,233705.5,40526.359375,0.0,484850.9933035714,161031.78794642858,132258
threaded,read,a7,0,1048576,1,8,4096,0,16,128,6160952.0,628396.0,48132.4375,0.0,484830.9910714286,196718.79910714287,212524
threaded,read,a7,0,1048576,1,16,4096,0,16,256,11804439.0,1116406.5,46111.08984375,0.0,484835.91183035716,359129.3777901786,241511
threaded,read,a7,0,1048576,1,32,4096,0,8,256,14131333.0,2222062.0,55200.51953125,0.0,485018.27008928574,442526.35714285716,306589
threaded,write,a0,0,65536,1,2,16,16,16,32,186473.5,29608.0,5827.296875,0.0,780.4598214285714,2053.03125,8186
threaded,write,a0,0,65536,1,4,16,16,16,64,260624.0,22483.5,4072.25,0.0,737.875,1454.5401785714287,14018
threaded,write,a0,0,65536,1,8,16,16,16,128,1304840.5,225585.0,10194.06640625,0.0,727.8783482142857,2968.238839285714,27123
threaded,write,a0,0,65536,1,16,16,16,16,256,2162283.0,760435.0,8446.41796875,0.0,728.4202008928571,2429.715401785714,61210
threaded,write,a0,0,65536,1,32,16,16,16,512,4926977.5,913532.5,9623.0029296875,0.0,746.58984375,2565.2586495535716,69966
threaded,write,a0,0,1048576,1,2,16,16,16,32,2425361.0,404894.5,75792.53125,0.0,791.4776785714286,2267.8258928571427,106277
threaded,write,a0,0,1048576,1,4,16,16,16,64,5750538.5,689251.0,89852.1640625,0.0,739.2767857142857,3234.113839285714,259417
threaded,write,a0,0,1048576,1,8,16,16,16,128,16923216.0,639718.5,132212.625,0.0,728.4910714285714,5642.744419642857,457744
threaded,write,a0,0,1048576,1,16,16,16,16,256,35380012.5,1495386.5,138203.173828125,0.0,740.2299107142857,7140.924107142857,695958
threaded,write,a0,0,1048576,1,32,16,16,8,256,38872231.5,2125668.0,151844.654296875,0.0,910.7427455357143,8264.717075892857,1037435
threaded,write,a7,0,65536,1,2,4096,0,16,32,177989.0,13544.5,5562.15625,0.0,798.8928571428571,1879.6607142857142,7305
threaded,write,a7,0,65536,1,4,4096,0,16,64,249241.5,27122.5,3894.3984375,0.0,733.8058035714286,2337.8125,12214
threaded,write,a7,0,65536,1,8,4096,0,16,128,1046620.5,190624.5,8176.72265625,0.0,737.1540178571429,2251.949776785714,37954
threaded,write,a7,0,65536,1,16,4096,0,16,256,2124491.0,254632.0,8298.79296875,0.0,727.1623883928571,2536.801339285714,58585
threaded,write,a7,0,65536,1,32,4096,0,16,512,5045021.5,730671.5,9853.5576171875,0.0,757.0086495535714,2540.0909598214284,69997
threaded,write,a7,0,1048576,1,2,4096,0,16,32,2388049.0,298218.5,74626.53125,0.0,775.0892857142857,4168.794642857143,106418
threaded,write,a7,0,1048576,1,4,4096,0,16,64,5289712.0,834947.5,82651.75,0.0,733.5178571428571,6109.397321428572,248826
threaded,write,a7,0,1048576,1,8,4096,0,16,128,15785002.5,283592.5,123320.33203125,0.0,718.8292410714286,4936.931919642857,304845
threaded,write,a7,0,1048576,1,16,4096,0,16,256,33763125.5,1767656.0,131887.208984375,0.0,736.3292410714286,5730.653459821428,643186
threaded,write,a7,0,1048576,1,32,4096,0,8,256,36030546.5,1820374.5,140744.322265625,0.0,904.796875,9693.868861607143,929414
