mode,dir,arm,offset,size,depth,workers,alignment,page_offset,kc,ops_per_rep,io_ns_median,io_ns_mad,wall_ns_per_op,minflt_io_median,instructions_per_op,cycles_per_op
sync,read,a0,0,4096,1,1,16,16,16,16,23823.0,127.5,1488.9375,0.0,2383.2678571428573,-2341.964285714286
sync,read,a0,0,4096,8,1,16,16,16,16,22607.0,114.0,1412.9375,0.0,2384.7678571428573,747.3928571428571
sync,read,a0,0,1048576,1,1,16,16,16,16,2845012.5,23978.0,177813.28125,0.0,485103.3214285714,198090.7767857143
sync,read,a0,0,1048576,8,1,16,16,16,16,3110324.5,7946.5,194395.28125,0.0,485102.3839285714,200298.70535714287
sync,read,a1,0,4096,1,1,64,0,16,16,19805.5,33.5,1237.84375,0.0,2382.714285714286,1099.142857142857
sync,read,a1,0,4096,8,1,64,0,16,16,20636.5,42.0,1289.78125,0.0,2381.1785714285716,649.3928571428571
sync,read,a1,0,1048576,1,1,64,0,16,16,2748877.5,33322.0,171804.84375,0.0,485101.91964285716,199742.92857142858
sync,read,a1,0,1048576,8,1,64,0,16,16,2747835.0,48335.5,171739.6875,0.0,485101.53571428574,203816.83035714287
sync,read,a2,0,4096,1,1,128,0,16,16,20005.0,40.0,1250.3125,0.0,2382.125,1973.607142857143
sync,read,a2,0,4096,8,1,128,0,16,16,19710.5,39.5,1231.90625,0.0,2383.0714285714284,209.75
sync,read,a2,0,1048576,1,1,128,0,16,16,3078104.0,119743.0,192381.5,0.0,485101.7410714286,235657.64285714287
sync,read,a2,0,1048576,8,1,128,0,16,16,3058735.0,104310.0,191170.9375,0.0,485102.4375,213896.89285714287
sync,read,a3,0,4096,1,1,256,0,16,16,21864.0,249.0,1366.5,0.0,2381.9285714285716,2107.9553571428573
sync,read,a3,0,4096,8,1,256,0,16,16,19783.0,34.5,1236.4375,0.0,2383.3571428571427,-1496.4732142857142
sync,read,a3,0,1048576,1,1,256,0,16,16,2765730.0,67217.5,172858.125,0.0,485101.91964285716,178191.86607142858
sync,read,a3,0,1048576,8,1,256,0,16,16,3021785.5,47468.5,188861.59375,0.0,485102.51785714284,216092.61607142858
sync,read,a4,0,4096,1,1,512,0,16,16,19913.5,34.0,1244.59375,0.0,2381.8214285714284,1445.767857142857
sync,read,a4,0,4096,8,1,512,0,16,16,19767.0,27.0,1235.4375,0.0,2382.785714285714,1437.4642857142858
sync,read,a4,0,1048576,1,1,512,0,16,16,2913199.0,60629.5,182074.9375,0.0,485102.2410714286,210263.50892857142
sync,read,a4,0,1048576,8,1,512,0,16,16,2912327.5,12047.0,182020.46875,0.0,485103.64285714284,215132.10714285713
sync,read,a5,0,4096,1,1,1024,0,16,16,19804.0,35.0,1237.75,0.0,2382.839285714286,2825.9910714285716
sync,read,a5,0,4096,8,1,1024,0,16,16,20758.5,46.0,1297.40625,0.0,2382.875,1505.7589285714287
sync,read,a5,0,1048576,1,1,1024,0,16,16,2866689.5,46470.5,179168.09375,0.0,485102.77678571426,205125.75
sync,read,a5,0,1048576,8,1,1024,0,16,16,2922861.0,16651.5,182678.8125,0.0,485100.73214285716,210867.1875
sync,read,a6,0,4096,1,1,2048,0,16,16,19736.5,39.5,1233.53125,0.0,2384.0,1485.669642857143
sync,read,a6,0,4096,8,1,2048,0,16,16,19792.5,47.0,1237.03125,0.0,2383.5803571428573,-2331.151785714286
sync,read,a6,0,1048576,1,1,2048,0,16,16,3026415.0,58847.5,189150.9375,0.0,485102.375,212546.33035714287
sync,read,a6,0,1048576,8,1,2048,0,16,16,3050669.0,104822.5,190666.8125,0.0,485102.3214285714,212776.67857142858
sync,read,a7,0,4096,1,1,4096,0,16,16,19826.5,25.5,1239.15625,0.0,2382.2321428571427,-1176.330357142857
sync,read,a7,0,4096,8,1,4096,0,16,16,19734.0,21.5,1233.375,0.0,2383.901785714286,359.73214285714283
sync,read,a7,0,1048576,1,1,4096,0,16,16,3027862.0,60159.0,189241.375,0.0,485102.16964285716,212859.9732142857
sync,read,a7,0,1048576,8,1,4096,0,16,16,2892866.0,79175.0,180804.125,0.0,485102.3125,203449.6875
sync,write,a0,0,4096,1,1,16,16,16,16,56716.5,289.0,3544.78125,0.0,478.23214285714283,-1001.0267857142857
sync,write,a0,0,4096,8,1,16,16,16,16,42003.0,1498.0,2625.1875,0.0,479.00892857142856,82.05357142857143
sync,write,a0,0,1048576,1,1,16,16,16,16,5938459.5,190248.5,371153.71875,0.0,483.2232142857143,-5960.357142857143
sync,write,a0,0,1048576,8,1,16,16,16,16,5703014.0,95337.0,356438.375,0.0,482.67857142857144,-12083.857142857143
sync,write,a1,0,4096,1,1,64,0,16,16,45739.5,319.0,2858.71875,0.0,479.0625,939.2232142857143
sync,write,a1,0,4096,8,1,64,0,16,16,56692.0,308.0,3543.25,0.0,477.57142857142856,-1891.232142857143
sync,write,a1,0,1048576,1,1,64,0,16,16,5738760.0,157459.0,358672.5,0.0,483.23214285714283,-5682.294642857143
sync,write,a1,0,1048576,8,1,64,0,16,16,6752688.5,89645.5,422043.03125,0.0,481.01785714285717,-477.89285714285717
sync,write,a2,0,4096,1,1,128,0,16,16,56972.5,207.0,3560.78125,0.0,477.7857142857143,-571.9910714285714
sync,write,a2,0,4096,8,1,128,0,16,16,56905.0,480.0,3556.5625,0.0,478.57142857142856,-190.25892857142858
sync,write,a2,0,1048576,1,1,128,0,16,16,5819610.0,110147.0,363725.625,0.0,482.3125,11983.4375
sync,write,a2,0,1048576,8,1,128,0,16,16,5750410.0,110436.5,359400.625,0.0,483.4732142857143,840.5267857142857
sync,write,a3,0,4096,1,1,256,0,16,16,56953.5,520.0,3559.59375,0.0,478.5625,-277.66964285714283
sync,write,a3,0,4096,8,1,256,0,16,16,57132.5,152.5,3570.78125,0.0,478.7857142857143,-638.8660714285714
sync,write,a3,0,1048576,1,1,256,0,16,16,5941367.0,250205.0,371335.4375,0.0,482.2857142857143,11761.42857142857
sync,write,a3,0,1048576,8,1,256,0,16,16,6534516.0,70843.0,408407.25,0.0,479.5625,-1701.5535714285713
sync,write,a4,0,4096,1,1,512,0,16,16,55777.5,5119.0,3486.09375,0.0,476.92857142857144,2296.473214285714
sync,write,a4,0,4096,8,1,512,0,16,16,57078.5,1008.5,3567.40625,0.0,478.49107142857144,-3372.1339285714284
sync,write,a4,0,1048576,1,1,512,0,16,16,6679601.5,30640.5,417475.09375,0.0,482.49107142857144,-408.3125
sync,write,a4,0,1048576,8,1,512,0,16,16,6684754.5,16104.5,417797.15625,0.0,480.8125,-10708.455357142857
sync,write,a5,0,4096,1,1,1024,0,16,16,56777.5,499.0,3548.59375,0.0,477.63392857142856,-1206.642857142857
sync,write,a5,0,4096,8,1,1024,0,16,16,56489.5,452.5,3530.59375,0.0,477.7232142857143,311.75
sync,write,a5,0,1048576,1,1,1024,0,16,16,6675046.0,16635.5,417190.375,0.0,481.91964285714283,-5417.910714285715
sync,write,a5,0,1048576,8,1,1024,0,16,16,6687305.5,20636.5,417956.59375,0.0,481.5357142857143,-8621.24107142857
sync,write,a6,0,4096,1,1,2048,0,16,16,56870.5,342.5,3554.40625,0.0,479.125,-2722.776785714286
sync,write,a6,0,4096,8,1,2048,0,16,16,56565.0,188.5,3535.3125,0.0,478.41964285714283,-896.1160714285714
