mode,dir,arm,offset,size,depth,workers,alignment,page_offset,kc,ops_per_rep,io_ns_median,io_ns_mad,wall_ns_per_op,minflt_io_median,instructions_per_op,cycles_per_op
sync,read,a0,0,4096,1,1,16,16,16,16,29653.0,30.0,1853.3125,0.0,2399.8839285714284,-1876.2142857142858
sync,read,a0,0,4096,8,1,16,16,16,16,29583.0,40.0,1848.9375,0.0,2399.589285714286,2488.4196428571427
sync,read,a0,0,1048576,1,1,16,16,16,16,5752780.5,84144.5,359548.78125,0.0,484607.1339285714,132954.125
sync,read,a0,0,1048576,8,1,16,16,16,16,5772934.5,58990.0,360808.40625,0.0,484608.6160714286,122348.71428571429
sync,read,a1,0,4096,1,1,64,0,16,16,13165.5,30.0,822.84375,0.0,2399.285714285714,-592.9017857142857
sync,read,a1,0,4096,8,1,64,0,16,16,13341.0,15.0,833.8125,0.0,2398.0089285714284,-1346.142857142857
sync,read,a1,0,1048576,1,1,64,0,16,16,1510798.0,72351.5,94424.875,0.0,484606.6875,133517.0
sync,read,a1,0,1048576,8,1,64,0,16,16,1597377.5,61891.0,99836.09375,0.0,484608.0714285714,133754.7767857143
sync,read,a2,0,4096,1,1,128,0,16,16,13671.5,70.5,854.46875,0.0,2399.3214285714284,5545.044642857143
sync,read,a2,0,4096,8,1,128,0,16,16,13662.0,9.5,853.875,0.0,2398.1785714285716,1030.830357142857
sync,read,a2,0,1048576,1,1,128,0,16,16,1544108.5,17033.0,96506.78125,0.0,484607.04464285716,130077.21428571429
sync,read,a2,0,1048576,8,1,128,0,16,16,1502507.0,62006.0,93906.6875,0.0,484606.0089285714,111803.86607142857
sync,read,a3,0,4096,1,1,256,0,16,16,13406.0,10.0,837.875,0.0,2398.4553571428573,3168.5714285714284
sync,read,a3,0,4096,8,1,256,0,16,16,13391.0,20.5,836.9375,0.0,2398.973214285714,1516.2142857142858
sync,read,a3,0,1048576,1,1,256,0,16,16,1428657.5,48159.0,89291.09375,0.0,484608.04464285716,134722.9107142857
