module,chunk,chunk_kib,depth,n,total_ns_median,total_ns_mad,engine_ns_median,construct_ns_median,mibps_median,wall_per_chunk_ns_median,instructions_median,instructions_per_byte,instructions_per_chunk,cpu_us_median
causal-aligned64,4096,4.0,1,7,2368382181,186822576,2368376875,5367,54.045331,72277.288239,511283705.0,3.80936,15603.140411,2620216
causal-aligned64,4096,4.0,2,7,731414993,54314766,731406600,7838,175.003249,22321.014191,377351226.0,2.811486,11515.84552,1472232
causal-aligned64,6144,6.0,1,7,1830737139,28377734,1830731479,5419,69.917192,83801.938066,341814879.0,2.546719,15646.565916,2029124
causal-aligned64,6144,6.0,2,7,822599532,38275921,822589313,9210,155.60427,37654.469102,314438448.0,2.342749,14393.410601,1488474
causal-aligned64,8192,8.0,1,7,1259336789,37248641,1259330898,5891,101.640801,76863.817688,257064261.0,1.915278,15689.957336,1417785
causal-aligned64,8192,8.0,2,7,429453105,52583278,429446054,7410,298.053498,26211.737366,197016060.0,1.467884,12024.906006,895071
causal-aligned64,12288,12.0,1,7,865084450,99887374,865078952,5651,147.962433,79198.429919,172328861.0,1.28395,15776.69697,1014184
causal-aligned64,12288,12.0,2,7,341041700,20298599,341034059,7561,375.320672,31222.34734,155088709.0,1.155501,14198.36208,717312
causal-aligned64,16384,16.0,1,7,738937858,42694764,738931988,5899,173.221603,90202.375244,129953781.0,0.968231,15863.498657,883921
causal-aligned64,16384,16.0,2,7,368560834,16744691,368553190,7704,347.296805,44990.336182,124537458.0,0.927876,15202.326416,716129
causal-aligned64,24576,24.0,1,7,576412834,56737578,576406420,5634,222.063064,105531.459905,87593394.0,0.652622,16036.871842,702251
causal-aligned64,24576,24.0,2,7,301967199,19948524,301959555,7774,423.887099,55285.096851,84596885.0,0.630296,15488.261626,560466
causal-aligned64,32768,32.0,1,7,563326318,88725549,563320502,5632,227.221765,137530.839355,66398749.0,0.494709,16210.63208,658787
causal-aligned64,32768,32.0,2,7,250077352,12564501,250070048,7699,511.841632,61054.041016,64164799.0,0.478065,15665.234131,494226
causal-aligned64,49152,48.0,1,7,571754294,34136145,571748826,5912,223.872389,209357.119736,45217542.0,0.336897,16557.137312,614616
causal-aligned64,49152,48.0,2,7,224098384,3605332,224090416,7968,571.177702,82057.262541,43737472.0,0.32587,16015.185646,453370
causal-aligned64,65536,64.0,1,7,487745531,16205338,487739524,5910,262.431928,238156.997559,34621449.0,0.25795,16905.004395,536286
causal-aligned64,65536,64.0,2,7,203422066,13320310,203410086,12550,629.233605,99327.180664,33514172.0,0.2497,16364.341797,407908
causal-phase16,4096,4.0,1,7,2359070020,107769322,2359064084,5677,54.258669,71993.103638,511286690.0,3.809383,15603.231506,2601955
causal-phase16,4096,4.0,2,7,822316586,47594082,822308173,7672,155.657811,25095.110657,387791274.0,2.88927,11834.4505,1638050
causal-phase16,6144,6.0,1,7,1799912158,177895403,1799906411,5747,71.114582,82390.925478,341814876.0,2.546719,15646.565779,1988749
causal-phase16,6144,6.0,2,7,849111543,191676458,849102963,9240,150.745801,38868.055617,312189623.0,2.325994,14290.470704,1532123
causal-phase16,8192,8.0,1,7,1262432416,48659303,1262426886,5666,101.391566,77052.759766,257063857.0,1.915275,15689.932678,1444752
causal-phase16,8192,8.0,2,7,509839061,21239322,509831326,7784,251.059618,31118.10675,212606285.0,1.58404,12976.457825,963501
causal-phase16,12288,12.0,1,7,922343673,71350162,922337743,5598,138.776905,84440.508377,172329424.0,1.283954,15776.748512,1080366
causal-phase16,12288,12.0,2,7,379066102,44434069,379058136,7287,337.671977,34703.479081,162944403.0,1.21403,14917.550398,729830
causal-phase16,16384,16.0,1,7,714323176,21081525,714317697,5479,179.190602,87197.65332,129953911.0,0.968232,15863.514526,852055
causal-phase16,16384,16.0,2,7,301276589,32732253,301268174,8006,424.858767,36776.927368,125095679.0,0.932035,15270.468628,607720
causal-phase16,24576,24.0,1,7,584265902,36782855,584260559,5883,219.078333,106969.224094,87594196.0,0.652628,16037.018674,720401
causal-phase16,24576,24.0,2,7,275528116,19540670,275520536,7465,464.56239,50444.547052,84588854.0,0.630236,15486.791285,559225
causal-phase16,32768,32.0,1,7,603216161,108676073,603210492,5578,212.195906,147269.570557,66399057.0,0.494712,16210.707275,677893
causal-phase16,32768,32.0,2,7,257659385,8299357,257650845,7813,496.779886,62905.123291,64176689.0,0.478154,15668.136963,511339
causal-phase16,49152,48.0,1,7,542036320,59421630,542030374,5786,236.146537,198475.400952,45218437.0,0.336904,16557.465031,603962
causal-phase16,49152,48.0,2,7,232786894,10277231,232778045,8238,549.859134,85238.701575,43732928.0,0.325836,16013.521787,469408
causal-phase16,65536,64.0,1,7,491705236,18320591,491698622,5596,260.318562,240090.447266,34621675.0,0.257952,16905.114746,552319
causal-phase16,65536,64.0,2,7,207595462,11034847,207582906,12589,616.583806,101364.97168,33514523.0,0.249703,16364.513184,431785
