module,chunk,chunk_kib,depth,n,total_ns_median,total_ns_mad,engine_ns_median,construct_ns_median,mibps_median,wall_per_chunk_ns_median,instructions_median,instructions_per_byte,instructions_per_chunk,cpu_us_median
engine,4096,4.0,1,7,2259454076,144913992,2259454076,0,56.650853,68953.066284,511277641.0,3.809315,15602.955353,2547215
engine,4096,4.0,2,7,919946566,83889387,919946566,0,139.138516,28074.541199,436782866.0,3.254286,13329.555237,1736928
engine,4096,4.0,4,7,812534144,74419917,812534144,0,157.531842,24796.574219,422238620.0,3.145923,12885.700073,1619031
engine,4096,4.0,8,7,863108391,75957215,863108391,0,148.301188,26339.977753,426935610.0,3.180918,13029.040833,1584159
engine,6144,6.0,1,7,1828706051,82547134,1828706051,0,69.994847,83708.965074,341806142.0,2.546654,15646.16598,1981762
engine,6144,6.0,2,7,831761661,164507329,831761661,0,153.890238,38073.865284,323265535.0,2.408516,14797.470246,1413173
engine,6144,6.0,4,7,906353134,66491343,906353134,0,141.225307,41488.287741,323400854.0,2.409524,14803.664469,1590160
engine,6144,6.0,8,7,840965400,71662025,840965400,0,152.206024,38495.166163,325696787.0,2.42663,14908.760734,1468275
engine,8192,8.0,1,7,1143910836,136285892,1143910836,0,111.896833,69818.776611,257057220.0,1.915226,15689.527588,1268018
engine,8192,8.0,2,7,469222259,15075870,469222259,0,272.791833,28639.053894,220797356.0,1.645068,13476.401123,893348
engine,8192,8.0,4,7,468534308,48347863,468534308,0,273.192374,28597.064697,221183686.0,1.647947,13499.980835,942170
engine,8192,8.0,8,7,511920137,30528710,511920137,0,250.039002,31245.125549,236319710.0,1.760719,14423.810425,968132
engine,12288,12.0,1,7,867010383,71943838,867010383,0,147.633757,79374.74897,172321917.0,1.283898,15776.061247,1015394
engine,12288,12.0,2,7,352169904,59407144,352169904,0,363.460928,32241.133754,164904905.0,1.228637,15097.03424,648392
engine,12288,12.0,4,7,448988079,28337703,448988079,0,285.08552,41104.831914,162376134.0,1.209796,14865.525405,854074
engine,12288,12.0,8,7,366348827,14557849,366348827,0,349.393776,33539.213311,166915372.0,1.243616,15281.092374,698181
engine,16384,16.0,1,7,694125291,34147644,694125291,0,184.404749,84732.091187,129946499.0,0.968177,15862.609741,824266
engine,16384,16.0,2,7,353684738,22310475,353684738,0,361.904222,43174.406494,125307706.0,0.933615,15296.35083,633608
engine,16384,16.0,4,7,312748883,30651647,312748883,0,409.274044,38177.353882,124576870.0,0.92817,15207.137451,594298
engine,16384,16.0,8,7,291577019,20555996,291577019,0,438.992073,35592.897827,125043599.0,0.931647,15264.111206,574048
engine,24576,24.0,1,7,610577518,84912254,610577518,0,209.637591,111786.436836,87586608.0,0.652571,16035.62944,705657
engine,24576,24.0,2,7,287851363,11070761,287851363,0,444.673941,52700.725558,84593403.0,0.63027,15487.62413,549016
engine,24576,24.0,4,7,286289159,10692193,286289159,0,447.100409,52414.712376,84932781.0,0.632799,15549.758513,513981
engine,24576,24.0,8,7,269563290,28493784,269563290,0,474.842105,49352.4881,85679612.0,0.638363,15686.490663,528257
engine,32768,32.0,1,7,665327537,76635341,665327537,0,192.386446,162433.480713,66392092.0,0.49466,16209.006836,692864
engine,32768,32.0,2,7,262581452,9215122,262581452,0,487.46779,64106.799805,64158076.0,0.478015,15663.592773,503629
engine,32768,32.0,4,7,259653855,11522157,259653855,0,492.963989,63392.054443,64438211.0,0.480102,15731.985107,452837
engine,32768,32.0,8,7,232518100,13972718,232518100,0,550.494779,56767.114258,64975655.0,0.484106,15863.197021,434046
engine,49152,48.0,1,7,541238918,50413638,541238918,0,236.49445,198183.41926,45211228.0,0.33685,16554.825339,598503
engine,49152,48.0,2,7,225808897,7894884,225808897,0,566.851004,82683.594654,43723582.0,0.325766,16010.099597,423545
engine,49152,48.0,4,7,222052608,14052003,222052608,0,576.439976,81308.168436,43909332.0,0.32715,16078.114976,411419
engine,49152,48.0,8,7,212363188,20444839,212363188,0,602.740999,77760.229952,44280017.0,0.329912,16213.847309,396199
engine,65536,64.0,1,7,478843724,14128678,478843724,0,267.310593,233810.412109,34613756.0,0.257893,16901.248047,526947
engine,65536,64.0,2,7,229680013,5706840,229680013,0,557.297077,112148.443848,33500798.0,0.2496,16357.811523,436657
engine,65536,64.0,4,7,227546433,13848171,227546433,0,562.522551,111106.656738,33643377.0,0.250663,16427.430176,428805
engine,65536,64.0,8,7,218867330,4650389,218867330,0,584.829175,106868.813477,33924637.0,0.252758,16564.76416,420286
engine,1048576,1024.0,1,7,204962262,6907567,204962262,0,624.505208,1601267.671875,4822140.0,0.035928,37672.96875,300961
engine,1048576,1024.0,2,7,146586094,2711160,146586094,0,873.206977,1145203.859375,4760407.0,0.035468,37190.679688,283483
engine,1048576,1024.0,4,7,149382229,2974831,149382229,0,856.862298,1167048.664062,4778983.0,0.035606,37335.804688,294739
engine,1048576,1024.0,8,7,154001084,2561341,154001084,0,831.162981,1203133.46875,4826984.0,0.035964,37710.8125,279715
replica-aligned,4096,4.0,1,7,2230371855,162944056,2230366365,5515,57.389533,68065.547333,511282305.0,3.80935,15603.097687,2410878
replica-aligned,4096,4.0,2,7,883417475,31774638,883409679,7678,144.891859,26959.76181,424354915.0,3.16169,12950.284271,1682506
replica-aligned,4096,4.0,4,7,921023705,90450317,921013277,11552,138.975793,28107.412872,414857001.0,3.090926,12660.430939,1759583
replica-aligned,4096,4.0,8,7,835349170,68694047,835322633,18231,153.229338,25492.833557,445047344.0,3.315861,13581.76709,1590859
replica-aligned,6144,6.0,1,7,1826587842,98938141,1826581831,5706,70.076017,83612.00412,341812596.0,2.546702,15646.461412,1992719
replica-aligned,6144,6.0,2,7,875519750,38876040,875510689,9302,146.198872,40076.890506,317162957.0,2.363048,14518.12492,1562576
replica-aligned,6144,6.0,4,7,883243294,37432210,883227286,16008,144.920432,40430.435503,325848103.0,2.427758,14915.68722,1531689
replica-aligned,6144,6.0,8,7,865012508,91994636,864983990,30643,147.974739,39595.921816,326354582.0,2.431531,14938.871281,1442254
replica-aligned,8192,8.0,1,7,1113949929,110538812,1113944355,5574,114.906421,67990.107971,257061344.0,1.915256,15689.779297,1295372
replica-aligned,8192,8.0,2,7,592306610,50246365,592298978,7945,216.104291,36151.526489,234668593.0,1.748417,14323.034241,1073972
replica-aligned,8192,8.0,4,7,518388778,22437532,518377914,11594,246.918925,31639.940063,240424065.0,1.791299,14674.320374,963362
replica-aligned,8192,8.0,8,7,517035300,28416304,517017898,18584,247.565302,31557.330322,242516513.0,1.806889,14802.033264,919323
replica-aligned,12288,12.0,1,7,929682104,81209469,929677001,5719,137.681471,85112.341298,172326557.0,1.283933,15776.486039,1089505
replica-aligned,12288,12.0,2,7,384902917,18853615,384894305,7937,332.55139,35237.839147,164654320.0,1.22677,15074.093198,696899
replica-aligned,12288,12.0,4,7,421753900,51664028,421743016,11338,303.494526,38611.544447,162880593.0,1.213555,14911.708597,807406
replica-aligned,12288,12.0,8,7,368210648,39952955,368192293,18596,347.627101,33709.662913,167362470.0,1.246948,15322.024169,703561
replica-aligned,16384,16.0,1,7,695718837,60329781,695713445,5398,183.982369,84926.615845,129951257.0,0.968212,15863.190552,843677
replica-aligned,16384,16.0,2,7,363059542,51494700,363051753,7648,352.55925,44318.791748,125309228.0,0.933627,15296.536621,613957
replica-aligned,16384,16.0,4,7,384422065,36232401,384409487,11748,332.96736,46926.521606,125712190.0,0.936629,15345.726318,701193
replica-aligned,16384,16.0,8,7,391694205,38680804,391669233,22648,326.785534,47814.234009,126532387.0,0.94274,15445.848022,716729
replica-aligned,24576,24.0,1,7,589911571,188298407,589906080,5491,216.981674,108002.850787,87590751.0,0.652602,16036.387953,721727
replica-aligned,24576,24.0,2,7,286007675,14836792,286000120,7555,447.540438,52363.177408,84605552.0,0.63036,15489.848407,503453
replica-aligned,24576,24.0,4,7,292471133,20261024,292459522,11916,437.65003,53546.527462,84966568.0,0.63305,15555.944343,558615
replica-aligned,24576,24.0,8,7,284709039,41167717,284688263,22325,449.581792,52125.419077,85649647.0,0.63814,15681.004577,487903
replica-aligned,32768,32.0,1,7,503265494,126651140,503259944,5909,254.338916,122867.552246,66395017.0,0.494681,16209.720947,621428
replica-aligned,32768,32.0,2,7,257017407,24195459,257009464,7915,498.020743,62748.390381,64169803.0,0.478102,15666.455811,451392
