phase,arm,size,slots,regime,ops_per_rep,kc,window_bytes,alloc_ns_median,alloc_ns_mad,alloc_ns_per_buffer,io_ns_median,io_ns_mad,io_ns_per_first_read,io_ns_per_op,total_to_first_io_ns_median,total_to_first_io_ns_mad,total_to_first_io_ns_per_buffer,touch_ns_median,touch_ns_mad,touch_ns_per_page,destroy_ns_median,minflt_alloc_median,minflt_io_median,minflt_touch_median,minflt_total_median,construct_ns,construct_minflt,prefault_ns,prefault_minflt,instructions_per_unit,cycles_per_unit
B,b1,4096,1,pinned,1,,,8041.0,1037.5,8041.0,8842.0,736.5,8842.0,,16903.0,1192.0,16903.0,,,,10219.5,1.0,1.0,,2.0,,,,,368873.28571428574,519981.0
B,b1,4096,8,pinned,8,,,52647.5,4734.5,6580.9375,58498.5,2244.0,7312.3125,,116280.5,4519.0,14535.0625,,,,62767.0,8.0,8.0,,16.0,,,,,84630.66071428571,79175.14285714286
B,b1,4096,32,pinned,32,,,127677.5,3181.0,3989.921875,138098.0,3512.5,4315.5625,,269433.0,9534.5,8419.78125,,,,156433.5,32.0,32.0,,64.0,,,,,54725.1875,37428.27232142857
B,b1,4096,128,pinned,128,,,530584.5,10871.0,4145.19140625,614783.0,24056.5,4802.9921875,,1142997.0,26485.5,8929.6640625,,,,651684.5,128.0,128.0,,256.0,,,,,44445.864955357145,34962.62946428572
B,b1,65536,1,pinned,1,,,4358.5,125.5,4358.5,49390.5,2685.0,49390.5,,55492.5,3967.5,55492.5,,,,9940.0,1.0,16.0,,17.0,,,,,1206032.142857143,691854.5714285715
B,b1,65536,8,pinned,8,,,27914.0,1067.0,3489.25,350505.0,9748.5,43813.125,,379906.5,11251.5,47488.3125,,,,73262.5,8.0,128.0,,136.0,,,,,712630.6607142857,544820.5357142857
B,b1,65536,32,pinned,32,,,118494.5,6727.5,3702.953125,1632001.0,63884.0,51000.03125,,1746378.0,74489.5,54574.3125,,,,339674.0,32.0,512.0,,544.0,,,,,687385.4151785715,533057.7991071428
B,b1,65536,128,pinned,128,,,676818.0,107053.0,5287.640625,9999422.0,2204919.0,78120.484375,,10788774.0,2352965.5,84287.296875,,,,2813383.5,128.0,2048.0,,2176.0,,,,,675867.8616071428,540444.7232142857
B,b1,1048576,1,pinned,1,,,7023.5,681.5,7023.5,815206.0,15209.0,815206.0,,822274.5,15925.5,822274.5,,,,84985.0,1.0,256.0,,257.0,,,,,11312913.0,8631661.0
B,b1,1048576,8,pinned,8,,,37843.5,2535.0,4730.4375,6919055.5,244288.5,864881.9375,,6961318.0,242956.5,870164.75,,,,835261.0,8.0,2048.0,,2056.0,,,,,10782638.44642857,8445326.517857144
B,b1,1048576,32,pinned,32,,,126575.5,4188.0,3955.484375,25299091.5,236513.5,790596.609375,,25429525.0,241183.0,794672.65625,,,,3029248.0,32.0,8192.0,,8224.0,,,,,10758890.754464285,8405286.44642857
B,b1,1048576,128,pinned,128,,,528600.5,24997.5,4129.69140625,104953261.0,2330655.0,819947.3515625,,105498074.0,2326403.0,824203.703125,,,,11613252.5,128.0,32768.0,,32896.0,,,,,10750871.543526785,8433974.167410715
