phase,arm,size,slots,regime,ops_per_rep,kc,window_bytes,alloc_ns_median,alloc_ns_mad,alloc_ns_per_buffer,io_ns_median,io_ns_mad,io_ns_per_first_read,io_ns_per_op,total_to_first_io_ns_median,total_to_first_io_ns_mad,total_to_first_io_ns_per_buffer,touch_ns_median,touch_ns_mad,touch_ns_per_page,destroy_ns_median,minflt_alloc_median,minflt_io_median,minflt_touch_median,minflt_total_median,construct_ns,construct_minflt,prefault_ns,prefault_minflt,instructions_per_unit,cycles_per_unit
A,b0,4096,1,pinned,1,,,5505.0,311.5,5505.0,,,,,,,,,,,4424.0,2.0,,,,,,,,336555.28571428574,87968.14285714286
A,b0,4096,8,pinned,8,,,41846.5,3106.0,5230.8125,,,,,,,,,,,26496.0,16.0,,,,,,,,33925.5,15413.607142857143
A,b0,4096,32,pinned,32,,,150947.5,1472.5,4717.109375,,,,,,,,,,,113620.5,64.0,,,,,,,,9653.72767857143,6045.758928571428
A,b0,4096,128,pinned,128,,,613731.5,21376.5,4794.77734375,,,,,,,,,,,624166.5,256.0,,,,,,,,1974.0200892857142,3232.1428571428573
A,b0,65536,1,pinned,1,,,29978.0,2389.5,29978.0,,,,,,,,,,,8005.5,17.0,,,,,,,,344415.0,177463.42857142858
A,b0,65536,8,pinned,8,,,215423.0,2745.5,26927.875,,,,,,,,,,,62942.5,136.0,,,,,,,,28667.928571428572,28856.053571428572
A,b0,65536,32,pinned,32,,,884822.5,21071.0,27650.703125,,,,,,,,,,,256011.5,544.0,,,,,,,,14659.513392857143,19161.879464285714
A,b0,65536,128,pinned,128,,,4811312.5,412535.0,37588.37890625,,,,,,,,,,,1699223.5,2176.0,,,,,,,,9091.36049107143,22663.953125
A,b0,1048576,1,pinned,1,,,433887.5,23255.5,433887.5,,,,,,,,,,,65842.5,257.0,,,,,,,,232042.7142857143,301009.85714285716
A,b0,1048576,8,pinned,8,,,3560489.0,203159.0,445061.125,,,,,,,,,,,674894.5,2056.0,,,,,,,,79545.10714285714,229715.01785714287
A,b0,1048576,32,pinned,32,,,15152567.5,164492.5,473517.734375,,,,,,,,,,,2628085.5,8224.0,,,,,,,,67877.77678571429,239447.15625
A,b0,1048576,128,pinned,128,,,65804387.5,2522665.0,514096.77734375,,,,,,,,,,,12233293.5,32896.0,,,,,,,,59069.484375,219249.65066964287
A,b1,4096,1,pinned,1,,,3647.0,120.0,3647.0,,,,,,,,,,,4303.5,1.0,,,,,,,,635209.2857142857,174104.7142857143
A,b1,4096,8,pinned,8,,,26577.0,2625.5,3322.125,,,,,,,,,,,23946.5,8.0,,,,,,,,31217.01785714286,13624.92857142857
