chunk,chunk_kib,depth,in_flight_bytes,in_flight_mib,n,total_ns_median,total_ns_mad,mibps_median,mibps_mad,wall_per_chunk_ns_median,instructions_median,instructions_per_byte,instructions_per_chunk,cpu_us_median,maxrss_kb_median,minflt_median
16384,16.0,1,16384,0.016,7,6114576728,546223069,167.468665,16.427701,93301.036499,1019714463.0,0.949683,15559.607895,6557882,8784,186
16384,16.0,2,32768,0.031,7,3171757792,462893549,322.849368,55.168837,48397.183105,982234975.0,0.914778,14987.716293,5843105,8784,192
16384,16.0,4,65536,0.062,7,3675545129,259027237,278.59813,21.122238,56084.367813,980572744.0,0.91323,14962.352661,6748415,8820,199
16384,16.0,8,131072,0.125,7,3678254139,194941504,278.392944,15.580094,56125.704025,987228905.0,0.919429,15063.917618,6704867,8820,218
32768,32.0,1,32768,0.031,7,4976693800,392343620,205.759093,17.609533,151876.641846,511273809.0,0.476161,15602.838409,5331275,8800,191
32768,32.0,2,65536,0.062,7,2658530106,69967544,385.175251,10.411093,81131.900208,493410947.0,0.459525,15057.707123,4900941,8812,199
32768,32.0,4,131072,0.125,7,2561175435,50068821,399.816423,7.971918,78160.871429,495512881.0,0.461482,15121.853058,4739963,8796,216
32768,32.0,8,262144,0.25,7,2552871694,121316079,401.116908,20.012674,77907.461365,499683729.0,0.465367,15249.137238,4666904,8792,249
65536,64.0,1,65536,0.062,7,3960552074,249106861,258.549813,17.353491,241732.914673,257052430.0,0.239399,15689.235229,4317379,8800,198
65536,64.0,2,131072,0.125,7,2002395909,62479448,511.387381,16.470401,122216.54718,248132555.0,0.231091,15144.809265,3721960,8812,214
65536,64.0,4,262144,0.25,7,1987285211,42642080,515.275812,11.298954,121294.263367,249198272.0,0.232084,15209.855469,3742111,8784,248
65536,64.0,8,524288,0.5,7,1953089080,44444846,524.297642,12.208838,119207.097168,251307551.0,0.234048,15338.595642,3739847,8804,312
98304,96.0,1,98304,0.094,7,3348831207,71995317,305.778326,6.718251,306585.29772,172316998.0,0.160483,15775.610913,3721729,8804,207
98304,96.0,2,196608,0.188,7,2082325075,52273521,491.757993,12.662694,190636.736702,166419059.0,0.15499,15235.654948,3517669,8812,232
98304,96.0,4,393216,0.375,7,2055628326,113718082,498.144527,29.171297,188192.65092,167108815.0,0.155632,15298.802069,3562187,8828,279
98304,96.0,8,786432,0.75,7,1797612953,144469344,569.644315,49.781604,164571.358876,168513414.0,0.15694,15427.393024,3306310,8784,376
131072,128.0,1,131072,0.125,7,3229696530,236540386,317.057652,25.05614,394250.064697,129941572.0,0.121018,15862.008301,3635715,8804,215
131072,128.0,2,262144,0.25,7,2011490027,111004744,509.075355,29.734395,245543.216187,125498618.0,0.11688,15319.655518,3280728,8800,247
131072,128.0,4,524288,0.5,7,1921967114,101036025,532.787472,29.5622,234615.126221,126031073.0,0.117376,15384.652466,3271450,8784,315
131072,128.0,8,1048576,1.0,7,1932130449,83256306,529.984919,23.865652,235855.7677,127097743.0,0.118369,15514.861206,3349621,8812,450
196608,192.0,1,196608,0.188,7,2795171728,116535015,366.346006,15.938009,511748.760161,87581208.0,0.081566,16034.640791,3275525,8800,231
196608,192.0,2,393216,0.375,7,1759272389,26828917,582.058814,9.013863,322093.077444,84611565.0,0.078801,15490.949286,3048256,8812,282
196608,192.0,4,786432,0.75,7,1803626060,41715686,567.745179,13.442159,330213.485903,84971204.0,0.079136,15556.793116,3138840,8792,378
196608,192.0,8,1572864,1.5,7,1781629933,36563234,574.7546,12.042455,326186.366349,85692327.0,0.079807,15688.818565,3104748,8784,575
262144,256.0,1,262144,0.25,7,2542593503,54060176,402.738385,8.748972,620750.366943,66385909.0,0.061827,16207.497314,3068519,8812,247
262144,256.0,2,524288,0.5,7,1714810090,40768095,597.150673,14.542464,418654.807129,64164751.0,0.059758,15665.222412,2986681,8836,313
262144,256.0,4,1048576,1.0,7,1673130913,36817577,612.026227,13.770787,408479.226807,64436661.0,0.060011,15731.606689,2909852,8828,442
262144,256.0,8,2097152,2.0,7,1734327368,33121092,590.43063,11.4952,423419.767578,64978272.0,0.060516,15863.835938,2970759,8800,704
393216,384.0,1,393216,0.375,7,2213152256,64047000,462.688456,13.788905,810381.63896,45206635.0,0.042102,16553.143537,2811344,8812,278
393216,384.0,2,786432,0.75,7,1656472398,20754789,618.181143,7.843786,606544.268766,43720859.0,0.040718,16009.102527,2792860,8788,379
393216,384.0,4,1572864,1.5,7,1621486894,50463537,631.519135,20.285306,593733.75833,43907743.0,0.040892,16077.533138,2815598,8792,571
393216,384.0,8,3145728,3.0,7,1610442798,32572620,635.849967,13.126111,589689.78323,44280098.0,0.041239,16213.876968,2756525,8812,961
524288,512.0,1,524288,0.5,7,2042812283,54165924,501.269749,13.653377,997466.935059,34608301.0,0.032231,16898.584473,2564489,8808,310
524288,512.0,2,1048576,1.0,7,1495402529,34997781,684.76546,16.41002,730177.016113,33502543.0,0.031202,16358.663574,2656965,8784,440
524288,512.0,4,2097152,2.0,7,1539755706,26275315,665.040562,11.545673,751833.84082,33644079.0,0.031333,16427.772949,2685646,8788,700
524288,512.0,8,4194304,4.0,7,1519439962,31386869,673.932518,14.214971,741914.043945,33924560.0,0.031595,16564.726562,2700626,8796,1217
786432,768.0,1,786432,0.75,7,1903468392,14703232,537.965329,4.187831,1393461.487555,24025911.0,0.022376,17588.514641,2558262,8824,375
786432,768.0,2,1572864,1.5,7,1422358794,6753502,719.930867,3.434612,1041258.267936,23284119.0,0.021685,17045.47511,2604705,8812,569
786432,768.0,4,3145728,3.0,7,1375619102,11066943,744.392106,6.037252,1007041.802343,23387380.0,0.021781,17121.068814,2567996,8800,957
786432,768.0,8,6291456,6.0,7,1381299184,6550238,741.331069,3.532205,1011199.988287,23588660.0,0.021969,17268.418741,2556464,10252,1728
1048576,1024.0,1,1048576,1.0,7,1794997312,25170188,570.474392,8.113192,1752927.0625,18720160.0,0.017435,18281.40625,2494675,8788,439
1048576,1024.0,2,2097152,2.0,7,1354014526,9603990,756.269582,5.402521,1322279.810547,18166938.0,0.016919,17741.150391,2444015,8796,697
1048576,1024.0,4,4194304,4.0,7,1312746134,21189978,780.044194,12.797832,1281978.646484,18241989.0,0.016989,17814.442383,2494510,8820,1211
1048576,1024.0,8,8388608,8.0,7,1364424764,29674420,750.499424,16.685244,1332446.058594,18400717.0,0.017137,17969.450195,2529074,12260,2240
1572864,1536.0,1,1572864,1.5,7,1645113359,21890736,622.449507,8.394337,2408657.919473,13429078.0,0.012507,19661.900439,2349089,8784,567
1572864,1536.0,2,3145728,3.0,7,1229188599,12070664,833.069881,8.2619,1799690.481698,13057412.0,0.012161,19117.733529,2364123,8800,952
1572864,1536.0,4,6291456,6.0,7,1237971879,7262042,827.159338,4.880814,1812550.335286,13118175.0,0.012217,19206.698389,2393733,10196,1724
1572864,1536.0,8,12582912,12.0,7,1378226635,35158883,742.983755,19.449859,2017901.36896,13237150.0,0.012328,19380.893119,2112984,16452,3264
2097152,2048.0,1,2097152,2.0,7,1581234896,31085543,647.595119,12.986391,3088349.40625,10776026.0,0.010036,21046.925781,2333631,8800,694
2097152,2048.0,2,4194304,4.0,7,1193939806,20866360,857.664679,15.255942,2331913.683594,10506510.0,0.009785,20520.527344,2318970,8804,1209
2097152,2048.0,4,8388608,8.0,7,1211674609,13006372,845.111379,9.170038,2366551.970703,10551728.0,0.009827,20608.84375,2328047,12300,2235
2097152,2048.0,8,16777216,16.0,7,1305359228,27149508,784.458391,16.662101,2549529.742188,10647945.0,0.009917,20796.767578,2441161,20412,4288
3145728,3072.0,1,3145728,3.0,7,1515665322,21365469,675.610892,9.659871,4431769.947368,8137567.0,0.007579,23794.055556,2277010,8808,951
3145728,3072.0,2,6291456,6.0,7,1212112373,18750640,844.806161,13.273977,3544188.225146,7956053.0,0.00741,23263.312865,2301116,10180,1721
3145728,3072.0,4,12582912,12.0,7,1226909244,6048899,834.61756,4.135213,3587453.929825,7991722.0,0.007443,23367.608187,2363588,16260,3261
3145728,3072.0,8,25165824,24.0,7,1259602762,5833747,812.954712,3.782652,3683049.011696,8071255.0,0.007517,23600.160819,2373448,28712,6336
4194304,4096.0,1,4194304,4.0,7,1485220253,33008660,689.46003,15.671374,5801641.613281,7032978.0,0.00655,27472.570312,2281118,8804,1206
4194304,4096.0,2,8388608,8.0,7,1155878980,12560170,885.905893,9.732306,4515152.265625,7133474.0,0.006644,27865.132812,2275075,12276,2234
4194304,4096.0,4,16777216,16.0,7,1230841236,9075705,831.951327,6.180028,4807973.578125,7622940.0,0.007099,29777.109375,2363845,20492,4281
4194304,4096.0,8,33554432,32.0,7,1256617262,11953248,814.886148,7.825836,4908661.179688,8604520.0,0.008014,33611.40625,2359955,36932,8386
