op,size,depth,fs,f0_median_ns,f1_median_ns,ratio,direction,threaded_ratio,threaded_direction
READ,4096,1,tmpfs,1312.954,1292.828,1.0156,NONE,1.0223,NONE
READ,4096,1,btrfs,1326.329,1283.185,1.0336,F1_FASTER,1.004,NONE
READ,4096,8,tmpfs,856.395,831.608,1.0298,NONE,1.0456,NONE
READ,4096,8,btrfs,856.596,833.587,1.0276,NONE,1.0073,NONE
READ,4096,32,tmpfs,869.625,839.262,1.0362,NONE,1.0383,F1_FASTER
READ,4096,32,btrfs,864.975,839.068,1.0309,NONE,1.131,NONE
READ,65536,1,tmpfs,8271.952,8447.182,0.9793,NONE,1.0198,NONE
READ,65536,1,btrfs,8334.1,8283.487,1.0061,NONE,0.9714,NONE
READ,2097152,1,tmpfs,279739.719,283638.029,0.9863,NONE,0.9788,NONE
READ,2097152,1,btrfs,272160.424,283000.545,0.9617,NONE,1.1222,F1_FASTER
WRITE,4096,1,tmpfs,19894.719,19646.04,1.0127,NONE,0.9821,NONE
WRITE,4096,1,btrfs,19460.503,18242.204,1.0668,NONE,1.0674,NONE
WRITE,4096,8,tmpfs,4901.389,5361.85,0.9141,NONE,0.9898,NONE
WRITE,4096,8,btrfs,4430.691,5176.352,0.8559,NONE,0.8316,F1_SLOWER
WRITE,4096,32,tmpfs,4010.831,3829.925,1.0472,NONE,0.9945,NONE
WRITE,4096,32,btrfs,4504.471,4081.426,1.1037,NONE,0.8248,F1_SLOWER
WRITE,65536,1,tmpfs,103482.961,105078.185,0.9848,NONE,1.0657,NONE
WRITE,65536,1,btrfs,95112.971,104422.157,0.9109,NONE,1.0443,NONE
WRITE,2097152,1,tmpfs,5528049.176,5645007.258,0.9793,NONE,1.0268,NONE
WRITE,2097152,1,btrfs,5696955.418,5656802.855,1.0071,NONE,0.9886,NONE
