op,size,depth,fs,f0_median_ns,f1_median_ns,ratio,direction,threaded_ratio,threaded_direction
READ,4096,1,tmpfs,None,None,None,None,1.0245,NONE
READ,4096,1,btrfs,None,None,None,None,1.0302,NONE
READ,4096,8,tmpfs,None,None,None,None,1.0495,F1_FASTER
READ,4096,8,btrfs,None,None,None,None,1.0214,NONE
READ,4096,32,tmpfs,None,None,None,None,1.0451,NONE
READ,4096,32,btrfs,None,None,None,None,1.0271,NONE
READ,65536,1,tmpfs,None,None,None,None,1.047,NONE
READ,65536,1,btrfs,None,None,None,None,1.003,NONE
READ,2097152,1,tmpfs,None,None,None,None,0.9713,NONE
READ,2097152,1,btrfs,None,None,None,None,1.0027,NONE
WRITE,4096,1,tmpfs,None,None,None,None,0.8981,F1_SLOWER
WRITE,4096,1,btrfs,None,None,None,None,1.0242,NONE
WRITE,4096,8,tmpfs,None,None,None,None,1.0796,NONE
WRITE,4096,8,btrfs,None,None,None,None,0.9859,NONE
WRITE,4096,32,tmpfs,None,None,None,None,1.0028,NONE
WRITE,4096,32,btrfs,None,None,None,None,0.9858,NONE
WRITE,65536,1,tmpfs,None,None,None,None,0.9136,NONE
WRITE,65536,1,btrfs,None,None,None,None,1.0771,NONE
WRITE,2097152,1,tmpfs,None,None,None,None,1.0243,NONE
WRITE,2097152,1,btrfs,None,None,None,None,1.0092,NONE
