op,size,depth,fs,f0_median_ns,f1_median_ns,ratio,direction,threaded_ratio,threaded_direction
READ,4096,1,tmpfs,10721.405,12479.141,0.8591,F1_SLOWER,0.8875,NONE
READ,4096,1,btrfs,None,None,None,None,None,None
READ,4096,8,tmpfs,1591.41,1564.926,1.0169,NONE,1.0284,NONE
READ,4096,8,btrfs,None,None,None,None,None,None
READ,4096,32,tmpfs,1315.765,1398.604,0.9408,NONE,0.9901,NONE
READ,4096,32,btrfs,None,None,None,None,None,None
READ,65536,1,tmpfs,20626.858,20887.487,0.9875,NONE,1.0641,NONE
READ,65536,1,btrfs,None,None,None,None,None,None
READ,2097152,1,tmpfs,359523.414,313579.758,1.1465,F1_FASTER,1.0257,NONE
READ,2097152,1,btrfs,None,None,None,None,None,None
WRITE,4096,1,tmpfs,16879.321,16839.187,1.0024,NONE,0.9988,NONE
WRITE,4096,1,btrfs,None,None,None,None,None,None
WRITE,4096,8,tmpfs,3964.528,4012.541,0.988,NONE,0.9941,NONE
WRITE,4096,8,btrfs,None,None,None,None,None,None
WRITE,4096,32,tmpfs,3651.68,3690.884,0.9894,NONE,1.0124,NONE
WRITE,4096,32,btrfs,None,None,None,None,None,None
WRITE,65536,1,tmpfs,79732.596,81301.138,0.9807,NONE,1.0139,NONE
WRITE,65536,1,btrfs,None,None,None,None,None,None
WRITE,2097152,1,tmpfs,4425613.936,4374108.65,1.0118,NONE,0.9338,F1_SLOWER
WRITE,2097152,1,btrfs,None,None,None,None,None,None
