chunk,depth,arm,n,wall_ns_median,wall_ns_mad,mibps_median,instructions_per_byte_median,cpu_us_median,maxrss_kb_median,minflt_median
524288,2,U0,7,486581260,9067720,2104.5,0.004,1027172,8792,411
524288,2,U1,7,474241688,12026395,2159.2,0.004,982260,8792,410
524288,2,U2,7,482612189,14154057,2121.8,0.004,1035908,8784,409
1048576,2,U0,7,493962228,10359754,2073.0,0.0032,1000972,8800,668
1048576,2,U1,7,472003796,13987000,2169.5,0.0032,936806,8808,667
1048576,2,U2,7,485728431,8914605,2108.2,0.0032,1010479,8796,665
2097152,1,U0,7,1237277206,29874291,827.6,0.0028,1542382,8808,666
2097152,1,U1,7,1149691290,19838313,890.7,0.0028,1441658,8792,666
2097152,1,U2,7,1316197795,23805998,778.0,0.0028,1584080,8836,666
2097152,2,U0,7,487422853,5456975,2100.8,0.0028,1050687,8784,1178
2097152,2,U1,7,497901140,22808317,2056.6,0.0028,1086374,8792,1178
2097152,2,U2,7,478503455,16000166,2140.0,0.0029,1018956,8784,1178
2097152,4,U0,7,479749861,11350375,2134.4,0.0029,1007322,12112,2205
2097152,4,U1,7,490505131,14680788,2087.6,0.0029,1059745,12048,2203
4194304,2,U0,7,482668295,5135706,2121.5,0.0031,1074413,12048,2203
4194304,2,U1,7,487242286,6817955,2101.6,0.0027,1070879,12112,2201
