arm,binary_sha256,cell,depth,error_note,family,fs,instr_u_per_op_estimates,ok,op,ops,request_size,sys_ns_per_op,total_bytes,user_ns_per_op,wall_ns_per_op_samples,word_sum,workers,write_verified
L0,a64932f6e402fa845dcca1563fe682238e942d4febf03e5ad9359afe88d3740a,S,8,,re1,btrfs,"[1016.21433367048, 1016.2069898332868]",True,read,65536,4096,1388.2238214666193,268435456,474.18074174360794,"[288.2498779296875, 281.9925842285156, 321.3317565917969, 251.3368377685547, 298.4985046386719, 320.7521514892578, 323.39776611328125, 324.8919372558594, 318.09547424316406, 260.52967834472656, 248.65052795410156]",15932121819945435136,8,True
L1,a64932f6e402fa845dcca1563fe682238e942d4febf03e5ad9359afe88d3740a,S,8,,re1,btrfs,"[1820.994853428432, 1817.585946219308]",True,read,65536,4096,4014.8509632457385,268435456,3511.1236572265625,"[1787.1293334960938, 1774.6414031982422, 1764.6350860595703, 1773.1590423583984, 1765.1466522216797, 1744.7799682617188, 1741.9051208496094, 1742.3416748046875, 1751.9528503417969, 1738.0867156982422, 1739.7695922851562]",15932121819945435136,8,True
L2,a64932f6e402fa845dcca1563fe682238e942d4febf03e5ad9359afe88d3740a,S,8,,re1,btrfs,"[4310.213200160435, 4323.352395193918]",True,read,65536,4096,5190.507368607955,268435456,5559.867165305398,"[2949.0906829833984, 2983.5555419921875, 2936.42822265625, 2953.5518951416016, 2993.0316009521484, 3160.1229553222656, 3258.4699096679688, 3390.680419921875, 3410.1443786621094, 3458.110626220703, 3503.283706665039]",15932121819945435136,8,True
L2,a64932f6e402fa845dcca1563fe682238e942d4febf03e5ad9359afe88d3740a,S,8,,re1,btrfs,"[3993.0097220284597, 3973.197483607701]",True,write,65536,4096,10155.770041725853,268435456,4872.014825994318,"[3116.338424682617, 3122.830520629883, 3000.5498046875, 3028.024658203125, 2992.0914001464844, 3006.839111328125, 2976.5367279052734, 3002.3484497070312, 2994.328369140625, 3018.7481994628906, 3002.63720703125]",,8,True
L0,a64932f6e402fa845dcca1563fe682238e942d4febf03e5ad9359afe88d3740a,S,8,,re1,btrfs,"[543.7119663783482, 543.7114562988281]",True,write,65536,4096,17879.11571155895,268435456,541.6675914417614,"[2343.4703979492188, 2334.3771209716797, 2328.397262573242, 2340.3916015625, 2339.7223510742188, 2327.7452697753906, 2344.9243774414062, 2339.4563598632812, 2335.7114868164062, 2348.6710205078125, 2331.1499938964844]",,8,True
L1,a64932f6e402fa845dcca1563fe682238e942d4febf03e5ad9359afe88d3740a,S,8,,re1,btrfs,"[1341.452176775251, 1346.4916120256696]",True,write,65536,4096,16507.804177024147,268435456,2582.237937233665,"[2793.6157989501953, 2788.0973510742188, 2796.3834228515625, 2783.0269927978516, 2779.5692596435547, 2785.4187774658203, 2780.7307891845703, 2778.5382232666016, 2787.8544311523438, 2774.4493713378906, 2806.318557739258]",,8,True
L1,a64932f6e402fa845dcca1563fe682238e942d4febf03e5ad9359afe88d3740a,L,2,,re1,btrfs,"[459862.45563616074, 459873.24748883926]",True,read,512,2097152,296057.17329545453,1073741824,79901.81107954546,"[222274.08203125, 212109.12890625, 198954.4140625, 197383.232421875, 195986.87890625, 197094.826171875, 197807.26171875, 199036.08203125, 197040.3984375, 197541.736328125, 197014.90234375]",8388255058653085696,2,True
L2,a64932f6e402fa845dcca1563fe682238e942d4febf03e5ad9359afe88d3740a,L,2,,re1,btrfs,"[465405.77985491074, 465078.55301339284]",True,read,512,2097152,475114.87926136365,1073741824,219849.25426136365,"[220916.19140625, 233691.0234375, 245352.796875, 255126.419921875, 266561.3046875, 344975.80078125, 481839.455078125, 503668.45703125, 504586.685546875, 507576.2109375, 489948.978515625]",8388255058653085696,2,True
L0,a64932f6e402fa845dcca1563fe682238e942d4febf03e5ad9359afe88d3740a,L,2,,re1,btrfs,"[458889.81975446426, 458889.71484375]",True,read,512,2097152,259551.49147727274,1073741824,82154.296875,"[179709.98828125, 171226.712890625, 171480.212890625, 171248.939453125, 172522.130859375, 171189.263671875, 171855.71875, 172688.099609375, 171986.119140625, 172396.86328125, 173192.40234375]",8388255058653085696,2,True
L1,a64932f6e402fa845dcca1563fe682238e942d4febf03e5ad9359afe88d3740a,L,2,,re1,btrfs,"[216245.78878348213, 216245.53041294642]",True,write,512,2097152,1327831.1434659092,1073741824,247798.47301136365,"[812390.6953125, 814134.8828125, 813946.12890625, 814681.07421875, 815153.451171875, 814023.5546875, 815156.171875, 811607.28515625, 814165.296875, 814255.76171875, 824197.5]",,2,True
L0,a64932f6e402fa845dcca1563fe682238e942d4febf03e5ad9359afe88d3740a,L,2,,re1,btrfs,"[214924.4609375, 214924.462890625]",True,write,512,2097152,1433313.0326704546,1073741824,124416.19318181818,"[781497.201171875, 781618.6328125, 783487.8515625, 784912.763671875, 782540.322265625, 781369.9609375, 782458.92578125, 781224.2890625, 781281.869140625, 781607.337890625, 781989.076171875]",,2,True
L2,a64932f6e402fa845dcca1563fe682238e942d4febf03e5ad9359afe88d3740a,L,2,,re1,btrfs,"[222732.80245535713, 222732.7357700893]",True,write,512,2097152,1577291.015625,1073741824,297667.0809659091,"[831243.328125, 832023.166015625, 831930.353515625, 831688.455078125, 832852.51171875, 831171.306640625, 831776.541015625, 2245908.583984375, 2212563.259765625, 2693887.978515625, 1138378.751953125]",,2,True
L0,a64932f6e402fa845dcca1563fe682238e942d4febf03e5ad9359afe88d3740a,S,8,,re1,tmpfs,"[1016.2062007359096, 1016.2081647600446]",True,read,65536,4096,1100.3570556640625,268435456,420.8263050426136,"[303.8209686279297, 273.50819396972656, 281.55406188964844, 209.78781127929688, 277.6186828613281, 278.1170349121094, 233.87535095214844, 301.1484680175781, 214.47645568847656, 275.23992919921875, 273.650634765625]",15932121819945435136,8,True
L2,a64932f6e402fa845dcca1563fe682238e942d4febf03e5ad9359afe88d3740a,S,8,,re1,tmpfs,"[4319.596409388951, 4315.1892656598775]",True,read,65536,4096,5644.572864879261,268435456,6742.2943115234375,"[3277.165817260742, 3325.094924926758, 3461.3533325195312, 3515.9605255126953, 3530.0819244384766, 3596.622512817383, 3594.4757690429688, 4047.474655151367, 3938.5975646972656, 3942.0786895751953, 3779.8682556152344]",15932121819945435136,8,True
L1,a64932f6e402fa845dcca1563fe682238e942d4febf03e5ad9359afe88d3740a,S,8,,re1,tmpfs,"[1811.8838304792132, 1813.0136500767298]",True,read,65536,4096,4049.253983931108,268435456,3489.92919921875,"[1809.0836029052734, 1777.6961669921875, 1768.4791107177734, 1771.824966430664, 1777.981185913086, 1761.0010528564453, 1756.0833892822266, 1758.8760223388672, 1763.5730590820312, 1768.3654174804688, 1766.257827758789]",15932121819945435136,8,True
L2,a64932f6e402fa845dcca1563fe682238e942d4febf03e5ad9359afe88d3740a,S,8,,re1,tmpfs,"[3836.5826546805247, 3834.4278106689453]",True,write,65536,4096,5546.051025390625,268435456,5985.149036754261,"[3018.457275390625, 3007.0696563720703, 3168.1641235351562, 3297.596954345703, 3254.163055419922, 3323.950714111328, 3347.804244995117, 3389.829788208008, 3519.4513092041016, 3455.1363830566406, 3814.559341430664]",,8,True
L1,a64932f6e402fa845dcca1563fe682238e942d4febf03e5ad9359afe88d3740a,S,8,,re1,tmpfs,"[1355.6763153076172, 1353.154288155692]",True,write,65536,4096,4264.850963245739,268435456,3397.4151611328125,"[2034.8341217041016, 2034.7262573242188, 1999.605484008789, 1948.9818115234375, 1986.9819946289062, 2023.4097290039062, 2015.3623504638672, 2011.8770294189453, 2010.8479461669922, 2001.8545532226562, 2003.0480346679688]",,8,True
L0,a64932f6e402fa845dcca1563fe682238e942d4febf03e5ad9359afe88d3740a,S,8,,re1,tmpfs,"[543.7125527518136, 543.7047358921596]",True,write,65536,4096,6206.248890269886,268435456,420.2423095703125,"[854.6140747070312, 842.6700592041016, 842.8375396728516, 843.2402801513672, 856.6307830810547, 854.5905914306641, 860.3552551269531, 852.3423767089844, 860.6467742919922, 856.9366912841797, 834.791748046875]",,8,True
L1,a64932f6e402fa845dcca1563fe682238e942d4febf03e5ad9359afe88d3740a,L,2,,re1,tmpfs,"[459901.10128348216, 459883.67047991074]",True,read,512,2097152,324138.671875,1073741824,86240.76704545454,"[220233.330078125, 217309.845703125, 215982.572265625, 216587.708984375, 219494.484375, 217578.375, 217312.423828125, 218097.392578125, 217060.61328125, 216819.837890625, 217235.728515625]",8388255058653085696,2,True
L2,a64932f6e402fa845dcca1563fe682238e942d4febf03e5ad9359afe88d3740a,L,2,,re1,tmpfs,"[465796.6749441964, 465788.93331473216]",True,read,512,2097152,723354.4034090909,1073741824,290907.67045454547,"[528002.205078125, 537000.7734375, 538597.109375, 539714.734375, 537821.564453125, 537410.03125, 536051.818359375, 538603.197265625, 545240.224609375, 550006.205078125, 550597.794921875]",8388255058653085696,2,True
L0,a64932f6e402fa845dcca1563fe682238e942d4febf03e5ad9359afe88d3740a,L,2,,re1,tmpfs,"[458889.91573660716, 458889.72907366074]",True,read,512,2097152,321343.75,1073741824,88966.97443181818,"[221430.828125, 224154.029296875, 224338.97265625, 224105.94921875, 224077.498046875, 224202.67578125, 206603.271484375, 182630.73046875, 180612.484375, 180898.7421875, 181176.478515625]",8388255058653085696,2,True
L1,a64932f6e402fa845dcca1563fe682238e942d4febf03e5ad9359afe88d3740a,L,2,,re1,tmpfs,"[216245.94363839287, 216245.8627232143]",True,write,512,2097152,918885.2982954546,1073741824,397780.1846590909,"[655449.8515625, 695668.181640625, 683565.958984375, 682539.1640625, 691867.4609375, 682980.314453125, 681972.41015625, 687950.9609375, 681491.91015625, 683224.919921875, 692805.419921875]",,2,True
L2,a64932f6e402fa845dcca1563fe682238e942d4febf03e5ad9359afe88d3740a,L,2,,re1,tmpfs,"[222732.8041294643, 222733.23716517858]",True,write,512,2097152,918831.4985795454,1073741824,403685.546875,"[688910.4453125, 685321.30078125, 681706.279296875, 688256.578125, 676792.017578125, 701114.302734375, 689344.9765625, 660695.39453125, 677968.880859375, 687547.017578125, 692851.841796875]",,2,True
L0,a64932f6e402fa845dcca1563fe682238e942d4febf03e5ad9359afe88d3740a,L,2,,re1,tmpfs,"[214924.66629464287, 214924.70033482142]",True,write,512,2097152,484185.3693181818,1073741824,106966.08664772728,"[294748.92578125, 294642.12890625, 293987.365234375, 295779.1171875, 302868.33203125, 303248.654296875, 298192.634765625, 296168.478515625, 295786.42578125, 294214.6796875, 296357.900390625]",,2,True
