arm,binary_sha256,cell,depth,error_note,family,fs,instr_u_per_op_estimates,ok,op,ops,request_size,sys_ns_per_op,total_bytes,user_ns_per_op,wall_ns_per_op_samples,word_sum,workers,write_verified
z1b,7401213fd4eb618e673ef4cd810519cff9aa61eb9c90011425211be147bfc9d2,S,8,,re1u,btrfs,"[1096.941929408482, 1096.9420427594866]",True,read,65536,4096,776.1660489169034,268435456,149.43764426491478,"[1023.2505493164062, 1023.2241668701172, 1024.8977508544922, 1025.5042266845703, 950.9724731445312, 883.3903961181641, 856.3990173339844, 855.2199096679688, 855.4468231201172, 856.3080444335938, 855.7827453613281]",15932121819945435136,1,True
z1,7401213fd4eb618e673ef4cd810519cff9aa61eb9c90011425211be147bfc9d2,S,8,,re1u,btrfs,"[1043.6956961495537, 1043.6956220354352]",True,read,65536,4096,707.9079367897727,268435456,147.92702414772728,"[998.9464874267578, 905.0452270507812, 840.2805480957031, 832.9885101318359, 832.3034973144531, 831.9634246826172, 832.5028839111328, 833.7606048583984, 843.0221405029297, 833.4731140136719, 853.40185546875]",15932121819945435136,1,True
z2,7401213fd4eb618e673ef4cd810519cff9aa61eb9c90011425211be147bfc9d2,S,8,,re1u,btrfs,"[3098.442419869559, 3098.442376273019]",True,read,65536,4096,739.836259321733,268435456,449.4060169566761,"[1189.6532287597656, 1214.0326232910156, 1190.072021484375, 1187.101577758789, 1203.2571411132812, 1186.8238067626953, 1188.7503662109375, 1187.1175689697266, 1210.359878540039, 1186.801742553711, 1186.866958618164]",15932121819945435136,1,True
z1bw,7401213fd4eb618e673ef4cd810519cff9aa61eb9c90011425211be147bfc9d2,S,8,,re1u,btrfs,"[1391.4058401925224, 1388.9299142020088]",True,read,65536,4096,1728.5003662109375,268435456,1052.610917524858,"[1733.2535095214844, 1775.687973022461, 1877.348617553711, 1781.3257904052734, 1761.290786743164, 1788.1669921875, 1810.8818969726562, 1713.0646057128906, 1757.2896270751953, 1736.143814086914, 1727.4388732910156]",15932121819945435136,1,True
z3,7401213fd4eb618e673ef4cd810519cff9aa61eb9c90011425211be147bfc9d2,S,8,,re1u,btrfs,"[3947.061519077846, 3947.0624062674387]",True,read,65536,4096,729.3673428622159,268435456,748.8320090553977,"[1484.1576843261719, 1481.1073455810547, 1485.2200775146484, 1477.448974609375, 1471.8985748291016, 1474.4489135742188, 1497.1670379638672, 1493.9048767089844, 1476.7569885253906, 1487.7315368652344, 1476.311019897461]",15932121819945435136,1,True
z3,7401213fd4eb618e673ef4cd810519cff9aa61eb9c90011425211be147bfc9d2,S,8,,re1u,btrfs,"[4143.368379865374, 4075.937739780971]",True,write,65536,4096,4344.2230224609375,268435456,1551.5816428444602,"[3005.247772216797, 2956.105758666992, 2956.2806396484375, 2958.412826538086, 2946.383758544922, 2958.260299682617, 2948.253692626953, 2945.1937255859375, 2950.79345703125, 2941.014404296875, 2949.9407958984375]",,1,True
z2,7401213fd4eb618e673ef4cd810519cff9aa61eb9c90011425211be147bfc9d2,S,8,,re1u,btrfs,"[3571.8670806884766, 3107.855571201869]",True,write,65536,4096,4654.790704900568,268435456,1342.4765846946023,"[2988.1710357666016, 3002.6695404052734, 2998.912826538086, 3021.7540893554688, 3022.1311950683594, 3032.0523986816406, 3004.2635192871094, 2988.624755859375, 2994.364715576172, 2993.045700073242, 3014.440139770508]",,1,True
z1b,7401213fd4eb618e673ef4cd810519cff9aa61eb9c90011425211be147bfc9d2,S,8,,re1u,btrfs,"[693.5540248325893, 682.0416259765625]",True,write,65536,4096,4964.6675803444605,268435456,605.4840087890625,"[3204.308868408203, 3212.108428955078, 3215.026382446289, 3206.5132751464844, 3221.6009521484375, 3213.7291412353516, 3215.8829650878906, 3214.0978240966797, 3203.2694396972656, 3230.382766723633, 3219.367965698242]",,1,True
z1,7401213fd4eb618e673ef4cd810519cff9aa61eb9c90011425211be147bfc9d2,S,8,,re1u,btrfs,"[635.9446999686105, 637.2823202950614]",True,write,65536,4096,5164.3246737393465,268435456,585.3673761541194,"[3361.7891693115234, 3381.439651489258, 3385.084701538086, 3371.964859008789, 3391.660919189453, 3397.1181030273438, 3393.0301971435547, 3393.159652709961, 3403.7255096435547, 3400.023956298828, 3380.4495544433594]",,1,True
z1bw,7401213fd4eb618e673ef4cd810519cff9aa61eb9c90011425211be147bfc9d2,S,8,,re1u,btrfs,"[1048.3601401192802, 1044.495594569615]",True,write,65536,4096,6572.7081298828125,268435456,1787.7141779119318,"[3412.9747161865234, 3485.5355682373047, 3470.8744201660156, 3490.344711303711, 3497.3961791992188, 3486.0782165527344, 3491.6260681152344, 3496.1970977783203, 3477.932327270508, 3495.1815032958984, 3477.6050720214844]",,1,True
