arm,branch-misses_u_per_op,cache-misses_u_per_op,cycles_u_per_op,depth,instructions_u_per_op,ok,op,ops,request_size,sys_ns_per_op,user_ns_per_op,wall_ns_per_op,word_sum,write_runner_verified
z1,3.0053623744419644,0.33334786551339285,337.2070748465402,1,1154.2797677176338,True,read,16384,4096,1634.09423828125,143.61572265625,1617.060302734375,3983030454986358784,
z1b,2.9993198939732144,0.39438302176339285,498.37193080357144,1,1201.263680594308,True,read,16384,4096,1493.95751953125,143.00537109375,1626.6596069335938,3983030454986358784,
z2,10.035557338169642,1.8627144949776786,1678.5682198660713,1,3827.2652326311386,True,read,16384,4096,1839.2333984375,413.0859375,2252.3515014648438,3983030454986358784,
z3w1,14.098336356026786,2.323329380580357,2724.222333635603,1,5795.582318987165,True,read,16384,4096,1958.6181640625,699.8291015625,2679.7828369140625,3983030454986358784,
z1,1.0987461635044642,2.75390625,302.039794921875,32,1042.7783028738838,True,read,16384,4096,1057.31201171875,0.0,1053.3272705078125,3983030454986358784,
z1b,1.1031058175223214,1.8198067801339286,399.7232666015625,32,1080.4837472098213,True,read,16384,4096,1020.99609375,111.9384765625,1079.0610961914062,3983030454986358784,
z2,1.6472865513392858,9.0885009765625,1093.4237322126116,32,3112.4476318359375,True,read,16384,4096,1253.7841796875,0.0,1235.8663940429688,3983030454986358784,
z3w1,2.8448573521205356,6.142351422991071,1233.6085641043526,32,3899.284659249442,True,read,16384,4096,1272.4609375,110.53466796875,1354.1708984375,3983030454986358784,
z1,1.0985979352678572,6.270359584263393,260.53941127232144,64,1042.7809884207588,True,read,16384,4096,1047.119140625,0.0,1069.3951416015625,3983030454986358784,
z1b,1.1064278738839286,4.51519775390625,375.3107125418527,64,1080.4733363560267,True,read,16384,4096,714.90478515625,331.97021484375,1067.1593627929688,3983030454986358784,
z2,1.9037562779017858,8.9317626953125,924.3217250279018,64,3211.651349748884,True,read,16384,4096,1183.41064453125,0.0,1240.0440063476562,3983030454986358784,
z3w1,3.0496738978794644,12.459071568080358,1319.4270978655134,64,4105.406258719308,True,read,16384,4096,834.8388671875,490.05126953125,1406.035400390625,3983030454986358784,
z1,1.4176897321428572,45.62974330357143,3087.2638113839284,8,14498.983119419643,True,read,1024,65536,6595.703125,0.0,5854.1181640625,3983030454986358784,
z1b,1.4020647321428572,37.615513392857146,4351.305385044643,8,14537.10365513393,True,read,1024,65536,5880.859375,0.0,5630.8603515625,3983030454986358784,
z2,2.3988560267857144,69.06989397321429,5365.8662109375,8,16552.28515625,True,read,1024,65536,4115.234375,1829.1015625,5927.6787109375,3983030454986358784,
z3w1,4.1669921875,115.67327008928571,4861.356026785715,8,17380.36258370536,True,read,1024,65536,1968.75,4213.8671875,6215.0732421875,3983030454986358784,
z1,1.4464285714285714,1809.3431919642858,135488.63002232142,8,229552.49441964287,True,read,256,1048576,355058.59375,31406.25,375583.12109375,15932121819945435136,
z1b,2.4213169642857144,1638.279575892857,191187.109375,8,229590.03292410713,True,read,256,1048576,289605.46875,62289.0625,355405.41015625,15932121819945435136,
z2,8.648995535714286,1671.5005580357142,185065.74107142858,8,231605.2271205357,True,read,256,1048576,322093.75,62539.0625,384870.609375,15932121819945435136,
z3w1,12.108816964285714,2579.625558035714,217636.3091517857,8,232468.0943080357,True,read,256,1048576,277769.53125,78910.15625,351210.76171875,15932121819945435136,
z1,4.831883021763393,87.73927525111607,1732.3607003348213,1,670.27099609375,True,write,16384,4096,37817.56591796875,991.39404296875,38442.39880371094,0,True
z1b,6.964102608816964,99.00102887834821,3001.71004813058,1,705.2600446428571,True,write,16384,4096,90539.55078125,857.7880859375,118951.0703125,0,True
z2,42.8011474609375,312.26161411830356,8106.076285226004,1,4043.7201799665177,True,write,16384,4096,106419.12841796875,1349.30419921875,140986.35662841797,0,True
z3w1,75.33855329241071,449.78866141183033,11981.324105398995,1,7897.446323939732,True,write,16384,4096,121110.7177734375,4747.1923828125,205884.94464111328,0,True
z1,1.2705339704241072,44.129603794642854,1000.2173810686384,32,585.5192086356027,True,write,16384,4096,11036.31591796875,0.0,12851.02685546875,0,True
z1b,1.2766287667410714,51.649405343191965,964.6555698939732,32,611.0588466099331,True,write,16384,4096,7212.0361328125,341.1865234375,4462.535583496094,0,True
z2,11.587323869977679,55.5494384765625,2649.914088657924,32,3160.606924874442,True,write,16384,4096,12145.20263671875,348.0224609375,4542.627502441406,0,True
z3w1,13.443882533482142,63.53271484375,3357.8192836216517,32,4629.131644112723,True,write,16384,4096,8031.67724609375,3005.37109375,5634.836853027344,0,True
z1,5.033482142857143,612.0514787946429,9349.808175223214,8,6920.450474330357,True,write,1024,65536,26287.109375,0.0,14648.5576171875,0,True
z1b,4.892717633928571,655.8060825892857,9684.997488839286,8,6952.050502232143,True,write,1024,65536,24399.4140625,0.0,16329.9921875,0,True
z2,18.52734375,531.4873046875,15388.136997767857,8,9447.08803013393,True,write,1024,65536,22506.8359375,955.078125,14743.662109375,0,True
z3w1,19.45703125,714.9207589285714,9234.9873046875,8,11682.571707589286,True,write,1024,65536,18856.4453125,7050.78125,14720.4560546875,0,True
