arm,op,request_size,depth,ops,ok,wall_ns_per_op,user_ns_per_op,sys_ns_per_op,instructions_u_per_op,cycles_u_per_op,branch-misses_u_per_op,cache-misses_u_per_op,word_sum
z1,read,4096,1,16384,True,1792.8745727539062,140.13671875,1662.17041015625,,,,,3983030454986358784
z1b,read,4096,1,16384,True,1846.615234375,247.25341796875,1602.05078125,,,,,3983030454986358784
z1bw,read,4096,1,16384,True,48416.06219482422,1462.158203125,40725.15869140625,,,,,3983030454986358784
z2,read,4096,1,16384,True,2365.455810546875,918.5791015625,1496.58203125,,,,,3983030454986358784
z3w1,read,4096,1,16384,True,3737.5252685546875,1989.3798828125,2185.4248046875,,,,,3983030454986358784
z3w4,read,4096,1,16384,True,6019.731994628906,1739.990234375,11131.2255859375,,,,,3983030454986358784
z1,read,4096,32,16384,True,1559.9599609375,0.0,1569.091796875,,,,,3983030454986358784
z1b,read,4096,32,16384,True,1567.6475830078125,219.970703125,1404.4189453125,,,,,3983030454986358784
z1bw,read,4096,32,16384,True,2425.5993041992188,129.82177734375,3145.01953125,,,,,3983030454986358784
z2,read,4096,32,16384,True,1220.8863525390625,265.380859375,936.82861328125,,,,,3983030454986358784
z3w1,read,4096,32,16384,True,1399.8133544921875,109.19189453125,1267.9443359375,,,,,3983030454986358784
z3w4,read,4096,32,16384,True,1755.8905639648438,516.29638671875,1776.67236328125,,,,,3983030454986358784
z1,read,4096,64,16384,True,1613.6897583007812,113.83056640625,1452.20947265625,,,,,3983030454986358784
z1b,read,4096,64,16384,True,1559.0493774414062,0.0,1557.55615234375,,,,,3983030454986358784
z1bw,read,4096,64,16384,True,2449.4720458984375,441.34521484375,3158.02001953125,,,,,3983030454986358784
z2,read,4096,64,16384,True,1242.0938720703125,87.82958984375,1150.87890625,,,,,3983030454986358784
z3w1,read,4096,64,16384,True,1482.6849975585938,497.37548828125,850.341796875,,,,,3983030454986358784
z3w4,read,4096,64,16384,True,2364.8856201171875,482.11669921875,2769.775390625,,,,,3983030454986358784
z1,read,65536,8,1024,True,5790.8427734375,0.0,5792.96875,,,,,3983030454986358784
z1b,read,65536,8,1024,True,6070.7783203125,1866.2109375,4017.578125,,,,,3983030454986358784
z1bw,read,65536,8,1024,True,8200.5048828125,0.0,10346.6796875,,,,,3983030454986358784
z2,read,65536,8,1024,True,6277.3896484375,0.0,5585.9375,,,,,3983030454986358784
z3w1,read,65536,8,1024,True,6155.7265625,1882.8125,4263.671875,,,,,3983030454986358784
z3w4,read,65536,8,1024,True,7707.919921875,0.9765625,10379.8828125,,,,,3983030454986358784
z1,read,1048576,8,256,True,371593.3359375,51019.53125,319902.34375,,,,,15932121819945435136
z1b,read,1048576,8,256,True,377294.8515625,78125.0,304156.25,,,,,15932121819945435136
z1bw,read,1048576,8,256,True,400198.80078125,62656.25,391089.84375,,,,,15932121819945435136
z2,read,1048576,8,256,True,363410.69921875,76312.5,296570.3125,,,,,15932121819945435136
z3w1,read,1048576,8,256,True,350677.625,31777.34375,359046.875,,,,,15932121819945435136
z3w4,read,1048576,8,256,True,370357.9296875,70328.125,333359.375,,,,,15932121819945435136
