arm,branch-misses_u_per_op,cache-misses_u_per_op,cycles_u_per_op,depth,instructions_u_per_op,ok,op,ops,request_size,sys_ns_per_op,user_ns_per_op,wall_ns_per_op,word_sum,write_runner_verified
z1,3.0009329659598216,0.7682146344866071,420.98699951171875,1,1154.2834298270088,True,read,16384,4096,1265.07568359375,369.0185546875,1575.0599365234375,3983030454986358784,
z1b,3.005615234375,0.6731305803571429,481.91432407924106,1,1201.2646309988838,True,read,16384,4096,1471.435546875,128.35693359375,1589.7955932617188,3983030454986358784,
z1bw,23.525547572544642,139.16938999720983,3212.9572317940847,1,1967.95405796596,True,read,16384,4096,40291.80908203125,1161.0107421875,46557.659240722656,3983030454986358784,
z2,10.034397670200892,2.622340611049107,1727.014857700893,1,3827.2603585379466,True,read,16384,4096,1707.03125,616.76025390625,2290.5009155273438,3983030454986358784,
z3w1,14.077811104910714,3.017482212611607,2753.206760951451,1,5795.584089006697,True,read,16384,4096,2539.0625,134.1552734375,2648.3402709960938,3983030454986358784,
z3w4,23.348388671875,75.9769287109375,4274.442548479353,1,6701.512956891741,True,read,16384,4096,9723.2666015625,1181.5185546875,5390.721984863281,3983030454986358784,
z1,1.0958164760044642,3.0409981863839284,259.1512189592634,32,1042.7808925083705,True,read,16384,4096,1057.7392578125,0.0,1028.1852416992188,3983030454986358784,
z1b,1.1175362723214286,4.823381696428571,431.8821934291295,32,1080.4798583984375,True,read,16384,4096,1056.640625,0.0,1118.0348510742188,3983030454986358784,
z1bw,3.80072021484375,11.447588239397321,611.5074637276786,32,1287.810791015625,True,read,16384,4096,2963.19580078125,205.01708984375,2265.4652099609375,3983030454986358784,
z2,1.6428920200892858,5.145089285714286,974.77734375,32,3112.446698869978,True,read,16384,4096,997.9248046875,226.6845703125,1226.7926025390625,3983030454986358784,
z3w1,3.13177490234375,8.272495814732142,1276.120152064732,32,3899.315752301897,True,read,16384,4096,1060.05859375,241.5771484375,1264.8831176757812,3983030454986358784,
z3w4,3.840236118861607,18.234383719308035,1395.38725062779,32,3924.6866629464284,True,read,16384,4096,2096.3134765625,251.28173828125,1683.950439453125,3983030454986358784,
z1,1.0976998465401786,4.202052525111607,346.8729160853795,64,1042.7841273716517,True,read,16384,4096,1037.90283203125,0.0,1021.296875,3983030454986358784,
z1b,1.0967058454241072,5.191842215401786,358.3220476422991,64,1080.477294921875,True,read,16384,4096,976.50146484375,112.24365234375,1065.0068359375,3983030454986358784,
z1bw,3.8795166015625,16.274004255022323,645.8807024274554,64,1286.0413469587054,True,read,16384,4096,3270.99609375,0.0,2369.3623657226562,3983030454986358784,
z2,1.8721487862723214,8.33087158203125,997.4781581333706,64,3211.650390625,True,read,16384,4096,1222.83935546875,0.0,1235.5513305664062,3983030454986358784,
z3w1,3.1012137276785716,12.992771693638392,1307.276846749442,64,4105.414289202009,True,read,16384,4096,1312.5,83.984375,1310.3906860351562,3983030454986358784,
z3w4,7.731375558035714,33.25396728515625,1731.409920828683,64,4132.380379813058,True,read,16384,4096,2728.69873046875,0.0,2072.6544799804688,3983030454986358784,
z1,1.7092633928571428,43.78724888392857,3279.078683035714,8,14498.89341517857,True,read,1024,65536,5600.5859375,3003.90625,5939.5498046875,3983030454986358784,
z1b,1.3690011160714286,32.541434151785715,4257.273856026785,8,14537.14564732143,True,read,1024,65536,6067.3828125,0.0,5533.4599609375,3983030454986358784,
z1bw,5.582170758928571,65.53111049107143,4326.680943080357,8,14783.342215401786,True,read,1024,65536,10751.953125,0.0,7753.443359375,3983030454986358784,
z2,2.573521205357143,68.92689732142857,5114.455078125,8,16552.326729910714,True,read,1024,65536,5931.640625,0.0,5966.5859375,3983030454986358784,
z3w1,4.702566964285714,112.65234375,5085.756556919643,8,17380.284598214286,True,read,1024,65536,6069.3359375,0.0,5950.3134765625,3983030454986358784,
z3w4,8.022739955357142,148.685546875,5708.262276785715,8,17508.423270089286,True,read,1024,65536,7459.9609375,4931.640625,8145.4501953125,3983030454986358784,
z1,1.66015625,1700.76171875,159180.06082589287,8,229552.6450892857,True,read,256,1048576,413578.125,31292.96875,378035.1015625,15932121819945435136,
z1b,2.9972098214285716,2287.573660714286,300008.4229910714,8,229590.1127232143,True,read,256,1048576,340277.34375,15734.375,341922.64453125,15932121819945435136,
z1bw,32.21484375,3489.2946428571427,293746.95368303574,8,230154.6283482143,True,read,256,1048576,358011.71875,79101.5625,396572.8046875,15932121819945435136,
z2,9.184709821428571,2005.5345982142858,222034.8119419643,8,231605.2416294643,True,read,256,1048576,298148.4375,61523.4375,355969.796875,15932121819945435136,
z3w1,10.814732142857142,2669.09375,163493.70591517858,8,232468.11049107142,True,read,256,1048576,357273.4375,31773.4375,372082.36328125,15932121819945435136,
z3w4,28.452008928571427,2811.0518973214284,158539.68247767858,8,233047.03348214287,True,read,256,1048576,348859.375,32269.53125,363908.6171875,15932121819945435136,
z1,3.5178658621651784,91.94573974609375,1290.7712227957588,1,670.2686854771206,True,write,16384,4096,36668.9453125,1028.74755859375,40943.193908691406,0,True
z1b,3.053615025111607,94.99774169921875,1280.7475847516741,1,705.2540196010044,True,write,16384,4096,35876.8310546875,649.71923828125,41714.86437988281,0,True
z1bw,30.619559151785715,379.30446079799106,5403.403564453125,1,1476.6149117606026,True,write,16384,4096,87585.14404296875,1752.25830078125,69545.3681640625,0,True
z2,44.134983607700896,256.49881417410717,5215.231218610491,1,4107.869698660715,True,write,16384,4096,43918.64013671875,1848.2666015625,49783.78723144531,0,True
z3w1,70.14501081194196,379.3048531668527,9194.244873046875,1,8478.12709263393,True,write,16384,4096,53533.50830078125,4015.80810546875,51619.16015625,0,True
z3w4,75.22189767020089,443.230460030692,10665.420907156808,1,9576.0613054548,True,write,16384,4096,47146.66748046875,2687.98828125,54593.32781982422,0,True
z1,2.0915440150669644,57.71632603236607,1062.623081752232,32,625.5171595982143,True,write,16384,4096,5159.423828125,0.0,2531.2449340820312,0,True
z1b,2.27740478515625,56.11460658482143,1069.1703229631696,32,665.357177734375,True,write,16384,4096,3746.826171875,505.92041015625,2484.8121337890625,0,True
z1bw,3.440761021205357,60.789341517857146,1036.8065621512276,32,818.7632795061384,True,write,16384,4096,8473.9990234375,486.6943359375,3475.1417236328125,0,True
z2,6.392412458147321,61.827968052455354,1927.5073503766741,32,2843.296953473772,True,write,16384,4096,3968.68896484375,545.59326171875,2306.331787109375,0,True
z3w1,8.130013602120536,66.35802350725446,2475.4037039620534,32,3738.691179547991,True,write,16384,4096,4483.3984375,129.638671875,2393.3317260742188,0,True
z1,2.094273158482143,56.900826590401785,1001.2125156947544,64,625.523681640625,True,write,16384,4096,4437.07275390625,240.78369140625,2494.122802734375,0,True
z1b,2.0160435267857144,52.876456124441965,1016.0947004045759,64,649.2168230329241,True,write,16384,4096,3623.71826171875,1020.93505859375,2514.5261840820312,0,True
z1bw,3.396205357142857,59.560145786830354,1002.6339896065848,64,814.2289603097098,True,write,16384,4096,7175.47607421875,0.0,3143.076416015625,0,True
