arm,branch-misses_u_per_op,cache-misses_u_per_op,cycles_u_per_op,depth,instructions_u_per_op,ok,op,ops,perf_wrapped,request_size,sys_ns_per_op,user_ns_per_op,wall_ns_per_op,word_sum,write_runner_verified
z1,3.0019705636160716,0.6582380022321429,280.41439383370533,1,1154.2833775111608,True,read,16384,,4096,1602.35595703125,0.0,1591.020263671875,3983030454986358784,
z1b,3.0040980747767856,0.44454520089285715,505.32156808035717,1,1201.2666015625,True,read,16384,,4096,1640.625,0.0,1585.76953125,3983030454986358784,
z1bw,23.338178362165177,152.31477573939733,3292.229239327567,1,1968.341997419085,True,read,16384,,4096,39213.43994140625,761.16943359375,46087.979064941406,3983030454986358784,
z2,10.045506068638392,1.7046072823660714,1809.7808663504463,1,3827.2680228097097,True,read,16384,,4096,2321.044921875,134.3994140625,2455.4022827148438,3983030454986358784,
z3w1,14.111982073102679,2.4007568359375,2889.4774954659597,1,5795.578447614397,True,read,16384,,4096,2467.46826171875,320.3125,2692.531982421875,3983030454986358784,
z3w4,23.194292340959823,73.91307721819196,4295.25679234096,1,6647.45015171596,True,read,16384,,4096,9405.1513671875,1363.525390625,5381.51806640625,3983030454986358784,
z1,1.0954415457589286,3.8176792689732144,256.21665736607144,32,1042.7828979492188,True,read,16384,,4096,1034.48486328125,0.0,1028.4447021484375,3983030454986358784,
z1b,1.1028529575892858,4.269810267857143,350.587881905692,32,1080.4801984514509,True,read,16384,,4096,892.51708984375,155.3955078125,1037.965087890625,3983030454986358784,
z1bw,3.764796665736607,8.607509068080358,626.3022896902902,32,1289.8059779575892,True,read,16384,,4096,2428.28369140625,700.13427734375,2362.8528442382812,3983030454986358784,
z2,1.6591099330357142,4.038033621651786,923.6534336635044,32,3112.4490182059153,True,read,16384,,4096,1203.06396484375,0.0,1202.9627075195312,3983030454986358784,
z3w1,2.82342529296875,8.778974260602679,1288.4643816266741,32,3899.3172694614955,True,read,16384,,4096,1159.11865234375,133.11767578125,1301.8104248046875,3983030454986358784,
z3w4,3.36962890625,11.931387765066964,1278.2721906389509,32,3923.6104561941966,True,read,16384,,4096,3197.8759765625,103.515625,1820.0685424804688,3983030454986358784,
z1,1.0984845842633928,4.193045479910714,336.65386962890625,64,1042.782505580357,True,read,16384,,4096,1034.72900390625,0.0,1036.5922241210938,3983030454986358784,
z1b,1.10003662109375,6.669669015066964,398.2787301199777,64,1080.4788731166295,True,read,16384,,4096,1115.53955078125,0.0,1022.4044799804688,3983030454986358784,
z1bw,3.9487391880580356,16.847124372209823,638.3576921735491,64,1289.5686819893974,True,read,16384,,4096,3408.3251953125,0.0,2324.7572021484375,3983030454986358784,
z2,1.8904506138392858,8.807172502790179,1040.393275669643,64,3211.6163504464284,True,read,16384,,4096,1194.580078125,0.0,1179.4788818359375,3983030454986358784,
z3w1,3.177394321986607,12.148263113839286,1278.9520612444196,64,4105.406685965402,True,read,16384,,4096,1346.00830078125,96.3134765625,1272.0387573242188,3983030454986358784,
z3w4,6.5196533203125,30.967555454799108,1628.0899832589287,64,4138.308358328683,True,read,16384,,4096,2243.71337890625,535.94970703125,1960.3564453125,3983030454986358784,
z1,1.4049944196428572,44.26869419642857,3238.062918526786,8,14498.836356026786,True,read,1024,,65536,3593.75,1628.90625,5141.8173828125,3983030454986358784,
z1b,1.431640625,34.174386160714285,4756.772321428572,8,14537.037109375,True,read,1024,,65536,5632.8125,0.0,5298.3720703125,3983030454986358784,
z1bw,5.612165178571429,66.55119977678571,4574.819614955357,8,14783.30873325893,True,read,1024,,65536,11432.6171875,0.0,7493.9931640625,3983030454986358784,
z2,2.5048828125,74.1533203125,5190.821010044643,8,16552.208984375,True,read,1024,,65536,3979.4921875,1990.234375,5691.80859375,3983030454986358784,
z3w1,4.166015625,110.13351004464286,4921.229073660715,8,17380.265066964286,True,read,1024,,65536,404.296875,5572.265625,5835.8759765625,3983030454986358784,
z3w4,8.9541015625,148.67117745535714,6128.792131696428,8,17497.635881696428,True,read,1024,,65536,8977.5390625,2474.609375,7885.70703125,3983030454986358784,
z1,1.5625,1105.498325892857,170138.38504464287,8,229552.6060267857,True,read,256,,1048576,323421.875,15082.03125,345880.82421875,15932121819945435136,
z1b,1.7589285714285714,1970.5591517857142,193659.46316964287,8,229589.9838169643,True,read,256,,1048576,334484.375,30992.1875,344471.96484375,15932121819945435136,
z1bw,35.070870535714285,3531.332589285714,289939.53180803574,8,230155.43470982142,True,read,256,,1048576,349066.40625,61699.21875,373717.046875,15932121819945435136,
z2,6.231584821428571,1387.1902901785713,178803.08705357142,8,231605.31361607142,True,read,256,,1048576,280820.3125,47812.5,349712.12890625,15932121819945435136,
z3w1,15.81640625,2329.7823660714284,238108.40234375,8,232468.109375,True,read,256,,1048576,276363.28125,62742.1875,330808.10546875,15932121819945435136,
z3w4,41.17857142857143,2716.117745535714,213568.52232142858,8,233416.10658482142,True,read,256,,1048576,328007.8125,50121.09375,358624.04296875,15932121819945435136,
