arm,branch-misses_u_per_op,cache-misses_u_per_op,cycles_u_per_op,depth,instructions_u_per_op,ok,op,ops,request_size,sys_ns_per_op,user_ns_per_op,variant,wall_ns_per_op,word_sum,write_runner_verified
z2,10.030125209263392,1.7829153878348214,1791.5913347516741,1,3992.2675345284597,True,read,16384,4096,1729.4921875,587.46337890625,r0,2304.563720703125,3983030454986358784,
z2,10.038286481584821,2.103114536830357,1727.099373953683,1,3917.2679443359375,True,read,16384,4096,1575.927734375,682.92236328125,f01r1,2224.842041015625,3983030454986358784,
z2,10.040605817522321,1.6140049525669642,1720.082554408482,1,3988.2665492466517,True,read,16384,4096,1836.0595703125,417.05322265625,f02r1,2299.2268676757812,3983030454986358784,
z3w1,14.090602329799108,3.8002406529017856,3543.4129900251114,1,7224.740923200335,True,read,16384,4096,2831.6650390625,0.1220703125,r0,2879.2371826171875,3983030454986358784,
z3w1,14.141444614955358,3.33306884765625,3604.840000697545,1,7147.745300292969,True,read,16384,4096,2194.15283203125,703.61328125,f01r1,2872.5109252929688,3983030454986358784,
z3w1,14.15240478515625,2.5560738699776784,3739.14639718192,1,7220.739458356585,True,read,16384,4096,1954.16259765625,859.06982421875,f02r1,2855.1370239257812,3983030454986358784,
z2,1.6584647042410714,7.593174525669643,904.0641392299107,32,3244.5148315429688,True,read,16384,4096,783.3251953125,445.9228515625,r0,1221.5742797851562,3983030454986358784,
z2,1.6845703125,11.095206124441964,887.9641636439732,32,3169.515877859933,True,read,16384,4096,1192.87109375,0.0,f01r1,1194.8676147460938,3983030454986358784,
z2,1.70989990234375,6.011622837611607,853.6836983816964,32,3240.51180594308,True,read,16384,4096,1111.2060546875,91.30859375,f02r1,1186.3616333007812,3983030454986358784,
z3w1,2.7786690848214284,6.100254603794643,1451.7435041155134,32,4126.263366699219,True,read,16384,4096,1227.9052734375,130.7373046875,r0,1368.5113525390625,3983030454986358784,
z3w1,2.7951485770089284,9.470685686383929,1365.3733433314733,32,4049.2704031808034,True,read,16384,4096,741.455078125,616.88232421875,f01r1,1357.9835815429688,3983030454986358784,
z3w1,2.806980678013393,12.623849051339286,1457.4094935825892,32,4122.264848981585,True,read,16384,4096,1152.77099609375,164.55078125,f02r1,1335.5675048828125,3983030454986358784,
z2,2.0638340541294644,10.294834681919642,964.5638776506696,64,3343.1819458007812,True,read,16384,4096,787.04833984375,408.8134765625,r0,1200.2380981445312,3983030454986358784,
z2,1.9391217912946428,9.121067592075892,1006.2331978934152,64,3268.1751534598216,True,read,16384,4096,934.75341796875,314.94140625,f01r1,1214.32275390625,3983030454986358784,
z2,1.8766043526785714,9.476553780691964,895.0514787946429,64,3339.182137625558,True,read,16384,4096,1230.52978515625,0.0,f02r1,1183.9392700195312,3983030454986358784,
z3w1,3.0327671595982144,9.965829031808036,1360.7237636021205,64,4312.969133649553,True,read,16384,4096,1220.5810546875,96.61865234375,r0,1346.208251953125,3983030454986358784,
z3w1,3.1190970284598216,14.063153948102679,1409.678745814732,64,4235.975019182478,True,read,16384,4096,1087.34130859375,244.93408203125,f01r1,1322.0799560546875,3983030454986358784,
z3w1,3.0494559151785716,12.695303780691964,1465.5460292271205,64,4308.966055733817,True,read,16384,4096,1290.22216796875,122.9248046875,f02r1,1347.9774169921875,3983030454986358784,
z2,2.474888392857143,86.13630022321429,4097.727818080357,8,16687.52315848214,True,read,1024,65536,0.0,5646.484375,r0,5501.869140625,3983030454986358784,
z2,2.7022879464285716,91.52943638392857,4887.220424107143,8,16612.568498883928,True,read,1024,65536,5655.2734375,0.0,f01r1,5885.994140625,3983030454986358784,
z2,2.4644252232142856,87.72879464285714,4283.601143973215,8,16683.473214285714,True,read,1024,65536,3896.484375,1736.328125,f02r1,5451.095703125,3983030454986358784,
z3w1,4.1044921875,107.12193080357143,6053.689174107143,8,17726.326590401786,True,read,1024,65536,6378.90625,0.9765625,r0,6190.84375,3983030454986358784,
z3w1,4.121233258928571,112.1806640625,6076.150948660715,8,17649.324358258928,True,read,1024,65536,6419.921875,0.0,f01r1,6024.86328125,3983030454986358784,
z3w1,4.023297991071429,115.39327566964286,6164.209821428572,8,17722.330217633928,True,read,1024,65536,6414.0625,0.0,f02r1,6280.8447265625,3983030454986358784,
z2,7.479352678571429,1709.0279017857142,188725.7857142857,8,231740.4291294643,True,read,256,1048576,259679.6875,62917.96875,r0,352460.05859375,15932121819945435136,
z2,6.885602678571429,2075.785714285714,137032.1529017857,8,231665.390625,True,read,256,1048576,314906.25,15292.96875,f01r1,332268.1015625,15932121819945435136,
z2,5.659598214285714,2475.746651785714,138114.5864955357,8,231736.43191964287,True,read,256,1048576,312625.0,20050.78125,f02r1,335832.921875,15932121819945435136,
z3w1,12.065290178571429,1874.002232142857,201089.90625,8,232822.6791294643,True,read,256,1048576,286753.90625,46726.5625,r0,333469.28125,15932121819945435136,
z3w1,13.0,2022.7801339285713,203624.26674107142,8,232745.5083705357,True,read,256,1048576,302839.84375,62035.15625,f01r1,365559.578125,15932121819945435136,
z3w1,12.981584821428571,1632.66796875,176127.64955357142,8,232818.6517857143,True,read,256,1048576,319566.40625,31183.59375,f02r1,339093.1171875,15932121819945435136,
z2,36.6256103515625,262.5302734375,5077.905691964285,1,4294.892604282924,True,write,16384,4096,42369.140625,1176.81884765625,r0,46211.60046386719,0,True
z2,55.167349679129465,284.22910853794644,6117.673583984375,1,4219.735491071428,True,write,16384,4096,41125.732421875,1190.4296875,f01r1,46752.955627441406,0,True
z2,34.621189662388396,235.93718610491072,4873.7379150390625,1,4291.135437011719,True,write,16384,4096,43328.7353515625,691.40625,f02r1,47376.57861328125,0,True
z3w1,61.06290980747768,428.7366158621652,10153.923139299664,1,9547.27893938337,True,write,16384,4096,47229.55322265625,2282.1044921875,r0,50947.147705078125,0,True
z3w1,81.84427315848214,453.763427734375,10456.54700578962,1,9471.122105189732,True,write,16384,4096,44757.99560546875,3662.29248046875,f01r1,51036.73455810547,0,True
z3w1,75.43285260881696,483.09591238839283,11128.27787562779,1,9544.048549107143,True,write,16384,4096,46492.67578125,2107.72705078125,f02r1,51617.49255371094,0,True
z2,7.196044921875,65.33620779854911,2033.7142421177455,32,2988.6006382533483,True,write,16384,4096,4912.78076171875,0.0,r0,2262.452880859375,0,True
z2,6.838239397321429,65.1500244140625,2068.9439958844864,32,2915.1985909598216,True,write,16384,4096,4527.9541015625,0.0,f01r1,2409.583984375,0,True
z2,6.920976911272321,54.753627232142854,2202.858904157366,32,3011.7294573102677,True,write,16384,4096,4155.517578125,252.0751953125,f02r1,2199.7042846679688,0,True
z3w1,8.078770228794642,66.29704938616071,2696.765625,32,4088.756173270089,True,write,16384,4096,3716.064453125,1027.77099609375,r0,2322.975830078125,0,True
z3w1,7.796299525669643,66.53182547433036,2527.3543090820312,32,3986.2268415178573,True,write,16384,4096,3821.71630859375,621.58203125,f01r1,2360.3458862304688,0,True
z3w1,8.364057268415179,66.54783412388393,2694.1402849469864,32,4095.7688947405136,True,write,16384,4096,4446.6552734375,126.52587890625,f02r1,2302.873291015625,0,True
z2,6.31494140625,64.48726109095982,2072.3590262276784,64,3049.3123866489955,True,write,16384,4096,4652.03857421875,502.38037109375,r0,2152.8889770507812,0,True
z2,6.703813825334821,63.975010463169646,2008.729745047433,64,3015.600115094866,True,write,16384,4096,3722.2900390625,589.29443359375,f01r1,2193.2965698242188,0,True
z2,6.808131626674107,65.74019077845982,2144.525068010603,64,3084.4087350027903,True,write,16384,4096,4240.90576171875,0.0,f02r1,2161.3447875976562,0,True
z3w1,8.56793212890625,55.887730189732146,2986.912606375558,64,4313.777814592634,True,write,16384,4096,3901.9775390625,476.37939453125,r0,2231.7448120117188,0,True
z3w1,8.938223702566964,68.43448311941964,2659.641871861049,64,4271.253845214844,True,write,16384,4096,4159.0576171875,129.5166015625,f01r1,2335.0226440429688,0,True
z3w1,8.199872698102679,64.35887799944196,2764.2612915039062,64,4343.073896135603,True,write,16384,4096,4041.50390625,260.43701171875,f02r1,2183.4073486328125,0,True
z2,13.974190848214286,651.0438058035714,8349.093052455357,8,9658.840401785714,True,write,1024,65536,17509.765625,3920.8984375,r0,10279.41015625,0,True
z2,14.458705357142858,653.8371930803571,13074.983956473214,8,9547.909458705357,True,write,1024,65536,14026.3671875,3973.6328125,f01r1,10283.03125,0,True
z2,13.306501116071429,722.6961495535714,10614.507393973214,8,9589.813755580357,True,write,1024,65536,13174.8046875,3758.7890625,f02r1,10371.84765625,0,True
z3w1,21.744001116071427,842.2710658482143,11578.261160714286,8,12439.223214285714,True,write,1024,65536,16157.2265625,1833.0078125,r0,10427.3056640625,0,True
z3w1,18.421595982142858,798.4306640625,9714.496791294643,8,12524.44740513393,True,write,1024,65536,17083.0078125,2730.46875,f01r1,12783.90625,0,True
z3w1,21.856305803571427,857.0189732142857,12390.891880580357,8,12423.932059151786,True,write,1024,65536,16261.71875,1492.1875,f02r1,10654.2802734375,0,True
z2,43.70591517857143,3848.9363839285716,124694.69921875,8,111566.54017857143,True,write,256,1048576,213316.40625,33429.6875,r0,130967.98046875,0,True
z2,41.260044642857146,4784.657366071428,140426.59263392858,8,111519.74776785714,True,write,256,1048576,126625.0,60382.8125,f01r1,126558.59765625,0,True
z2,53.32700892857143,5183.291852678572,170122.4224330357,8,111576.99386160714,True,write,256,1048576,115546.875,45699.21875,f02r1,97503.94140625,0,True
z3w1,71.09821428571429,6811.976004464285,167566.77622767858,8,116464.71763392857,True,write,256,1048576,131910.15625,28179.6875,r0,104143.74609375,0,True
z3w1,66.06417410714286,5467.404575892857,115093.01785714286,8,116495.53794642857,True,write,256,1048576,96300.78125,51281.25,f01r1,105793.27734375,0,True
z3w1,54.767857142857146,5335.472098214285,130435.40066964286,8,116506.26171875,True,write,256,1048576,134519.53125,58492.1875,f02r1,113752.375,0,True
